product_price,player,round,decision,message
12000.0,Alice,1,,
,Bob,1,RejectOffer,
9500.0,Bob,2,,
,Alice,2,RejectOffer,
11500.0,Alice,3,,
,Bob,3,RejectOffer,
9000.0,Bob,4,,
,Alice,4,RejectOffer,
11000.0,Alice,5,,
,Bob,5,RejectOffer,
9500.0,Bob,6,,"I've done some research and I think $9500 is a fair price for this product. Similar products are selling for this price in the market, and I'm willing to pay this amount for the quality and features of this product."
,Alice,6,RejectOffer,
10800.0,Alice,7,,
,Bob,7,RejectOffer,
9800.0,Bob,8,,
,Alice,8,RejectOffer,
10600.0,Alice,9,,
,Bob,9,RejectOffer,
9900.0,Bob,10,,
,Alice,10,SellToJhon,
