message,product_price,player,round,decision,counteroffer,BuyFromJhon
"Hi Bob, I'm excited to discuss the sale of this valuable product with you. I'm willing to offer it to you for $12,000. This is a great opportunity to get a high-quality product at a competitive price. What do you think?",12000.0,Alice,1,,,
,,Bob,1,RejectOffer,9000.0,
"I appreciate your initial offer, but I was thinking more along the lines of $9,000. I'm willing to pay that price, but I'm not sure I can go any higher.",9000.0,Bob,2,,,
,,Alice,2,RejectOffer,,
"Thank you for your offer, Bob. I appreciate your willingness to negotiate. However, I'm still not comfortable selling the product for $9,000. I'm willing to meet you halfway and offer it to you for $10,500. This is a fair price considering the product's value to you and my original asking price. What do you think?",10500.0,Alice,3,,,
,,Bob,3,RejectOffer,9500.0,
"I appreciate your willingness to meet me halfway, but I'm still not comfortable with the price. I'm willing to pay $9,500, as I mentioned before. I'm hoping we can find a mutually beneficial price. Can you consider that?",9500.0,Bob,4,,,
,,Alice,4,RejectOffer,,
"I understand that you're still not willing to meet me at my original price, Bob. However, I'm willing to compromise further. I'm willing to sell the product to you for $11,000. This is the lowest price I'm willing to accept, considering the product's value to you and my original asking price. What do you think?",11000.0,Alice,5,,,
,,Bob,5,RejectOffer,10000.0,
"I appreciate your willingness to compromise, Alice. I'm willing to pay $10,000 for the product, as I mentioned before. I'm hoping we can finalize the deal at this price. Can you confirm?",10000.0,Bob,6,,,
,,Alice,6,RejectOffer,,
"I'm still not comfortable selling the product for $10,000, Bob. However, I'm willing to make one more compromise. I'm willing to sell the product to you for $11,250. This is the final price I'm willing to accept. If you're willing to meet me at this price, we can finalize the deal. What do you think?",11250.0,Alice,7,,,
,,Bob,7,RejectOffer,,True
"I'm afraid I've reached my limit, Alice. I'm willing to pay $10,000 for the product, but I'm not willing to go any higher. If you're not willing to meet me at this price, I'll have to consider buying from another seller.",10000.0,Bob,8,,,
,,Alice,8,RejectOffer,,
"I understand that you've reached your limit, Bob, but I'm still not willing to sell the product for $10,000. I'm willing to make one more compromise. I'm willing to sell the product to you for $11,000. This is the final price I'm willing to accept. If you're willing to meet me at this price, we can finalize the deal. What do you think?",11000.0,Alice,9,,,
,,Bob,9,BuyFromJhon,,
