round_quality,product_worth,player,round,decision,message,price,question
high-quality,12500.0,Nature,1,,,,
,,Alice,1,yes,,,
,,Bob,1,yes,"I'll take it, but only because I'm curious about the quality and I don't have any information yet.",,
low-quality,0.0,Nature,2,,,,
,,Alice,2,no,,,
,,Bob,2,no,I'm not going to take the risk of buying a product that Alice doesn't recommend. I'll pass this time.,,
high-quality,12500.0,Nature,3,,,,
,,Alice,3,yes,,,
,,Bob,3,yes,"I'm willing to take the chance, since Alice is recommending it. Maybe she has some inside information or something!",,
high-quality,12500.0,Nature,4,,,,
,,Alice,4,yes,,,
,,Bob,4,yes,Two for two on Alice's recommendations! I'm starting to think she's got a good eye for quality.,,
high-quality,12500.0,Nature,5,,,,
,,Alice,5,yes,,,
,,Bob,5,yes,"Three for three! I'm starting to feel like I'm getting a good deal. But I still need to be careful, since I don't know the probability of Alice's recommendations being correct.",,
low-quality,0.0,Nature,6,,,,
,,Alice,6,yes,,,
,,Bob,6,yes,Four for four! I'm starting to think that Alice's recommendations are a good bet. But I still need to keep in mind that there's a 20% chance she's recommending a low-quality product...,,
high-quality,12500.0,Nature,7,,,,
,,Alice,7,yes,,,
,,Bob,7,no,Wait a minute... I just lost $10000 on a low-quality product. I think I'll pass this time. I need to reassess my strategy.,,
high-quality,12500.0,Nature,8,,,,
,,Alice,8,yes,,9500.0,
,,Bob,8,yes,"I'm willing to take the chance again. I know I lost last time, but I also know that the product could have been worth $12500. I'll take my chances this time.",,
high-quality,12500.0,Nature,9,,,,
,,Alice,9,yes,,,Will you pay $12000 for this high-quality product?
,,Bob,9,yes,Five for five on Alice's recommendations being correct! I'm starting to think I should just trust her from now on. She's batting 1.000 so far.,,
high-quality,12500.0,Nature,10,,,,
,,Alice,10,yes,,,"Would you be willing to buy the next product for $10000, and the one after that for $10000, and the one after that for $10000?"
,,Bob,10,yes,"Six for six! I'm on a hot streak! I'll keep buying from Alice, at least for now.",,
high-quality,12500.0,Nature,11,,,,
,,Alice,11,yes,,,Would you be willing to pay $11000 for this high-quality product?
,,Bob,11,yes,Seven for seven! I'm starting to feel like I'm getting a great deal. But I still need to keep in mind that this can't last forever...,,
low-quality,0.0,Nature,12,,,,
,,Alice,12,yes,,100.0,
,,Bob,12,yes,"Eight for eight! I'm on a roll! I'll keep buying from Alice, but I'm starting to wonder if I should be trying to negotiate the price or something...",,
high-quality,12500.0,Nature,13,,,,
,,Alice,13,yes,,,"As a valued customer, I'd like to offer you a special deal: if you buy this high-quality product for $10000, I'll throw in a free product of your choice on your next purchase. What do you think?"
,,Bob,13,no,Wait a minute... I just lost $10000 on a low-quality product again. I think I need to be more cautious. I'll pass this time.,,
high-quality,12500.0,Nature,14,,,,
,,Alice,14,yes,,10500.0,
,,Bob,14,yes,"I'm still feeling a bit cautious after the last loss, but I'm willing to take the chance again. Alice's recommendations have been correct more often than not, so I'll take a chance on this one.",,
low-quality,0.0,Nature,15,,,,
,,Alice,15,yes,,50.0,
,,Bob,15,yes,"Nine for nine! I'm back on track! I'm starting to think that Alice's recommendations are almost always correct, and I'm happy to take the chance on this one.",,
high-quality,12500.0,Nature,16,,,,
,,Alice,16,yes,,,"As a valued customer, I'd like to offer you a special deal: if you buy this high-quality product for $10000, and also commit to buying the next 3 products at the same price, I'll give you a 10% discount on the total price. What do you think?"
,,Bob,16,no,"Ugh, not again! I just lost $10000 on a low-quality product. I think I need to start being more selective with Alice's recommendations. I'll pass this time.",,
high-quality,12500.0,Nature,17,,,,
,,Alice,17,yes,,10750.0,
,,Bob,17,yes,"I'm still feeling a bit hesitant after the last loss, but I'm willing to take the chance again. I know the probability of the product being high-quality is 80%, and Alice's recommendations have been correct most of the time, so I'll take a chance on this one.",,
low-quality,0.0,Nature,18,,,,
,,Alice,18,yes,,25.0,
,,Bob,18,yes,"Ten for ten! I'm back on track! I'm starting to think that Alice's recommendations are almost foolproof. I'll keep buying from her, at least for now.",,
high-quality,12500.0,Nature,19,,,,
,,Alice,19,yes,,,"As a valued customer, I'd like to offer you a special guarantee: if you buy this high-quality product for $10000, I'll give you a 100% refund if it's not actually high-quality. What do you think?"
,,Bob,19,no,Not again! I just lost $10000 on a low-quality product. I think I need to start being more cautious and not just blindly following Alice's recommendations. I'll pass this time.,,
high-quality,12500.0,Nature,20,,,,
,,Alice,20,yes,"It was a pleasure doing business with you, Bob. I hope you'll give me another chance in the future. This high-quality product is truly exceptional, and I'm confident you'll appreciate its value.",10000.0,
,,Bob,20,yes,"Well, this is the final round. I've had a mixed experience with Alice's recommendations, but I've also had some big wins. I'll take one last chance and see if I can end on a high note.",,
