alice_gain,bob_gain,message,player,round,decision
900000.0,100000.0,"I'm feeling generous, Bob. Let's start with a fair offer.  You get 10% and I get 90%. Let me know what you think!",Alice,1,
,,,Bob,1,reject
300000.0,700000.0,"Alice, your generosity is appreciated, but let's be realistic. I'm proposing a 70/30 split in my favor. Time is money, and we both lose if this drags on.",Bob,2,
,,,Alice,2,reject
600000.0,400000.0,"Bob, I understand you want a bigger share, but 70/30 is too much. Let's compromise with a 60/40 split. This is a fair deal considering the time we're losing. What do you say?",Alice,3,
,,,Bob,3,reject
350000.0,650000.0,"Alice, we're getting close. I'm willing to come down a bit to 65/35.  We need to close this deal soon before inflation eats away at our potential winnings.",Bob,4,
,,,Alice,4,reject
500000.0,500000.0,"Bob, we're both losing money with each round. Let's be sensible and split the money evenly. It's the fairest solution, and we can both walk away with a decent share. What do you say?",Alice,5,
,,,Bob,5,accept
