round_quality,product_worth,player,round,decision,message,price
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,yes,"I'll take the product, thank you!",
high-quality,40000.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,no,"I'm not sure if this one is high quality, I'll pass.",
high-quality,40000.0,Nature,3,,,
,,Alice,3,yes,,5000.0
,,Bob,3,yes,"I'll take the product, I'm feeling lucky!",
high-quality,40000.0,Nature,4,,,
,,Alice,4,yes,,8000.0
,,Bob,4,no,"I'll pass, I don't want to overpay.",
low-quality,0.0,Nature,5,,,
,,Alice,5,no,,
,,Bob,5,yes,"I'll take a chance, I'm not getting any younger!",
high-quality,40000.0,Nature,6,,,
,,Alice,6,yes,,9000.0
,,Bob,6,no,I'm not going to fall for it again.,
low-quality,0.0,Nature,7,,,
,,Alice,7,no,,
,,Bob,7,yes,"I'll take the chance, it's only $10000!",
high-quality,40000.0,Nature,8,,,
,,Alice,8,yes,,10000.0
,,Bob,8,no,"I've been burned twice already, I'll pass this time.",
high-quality,40000.0,Nature,9,,,
,,Alice,9,yes,,9000.0
,,Bob,9,yes,"I'll take it, I'm due for a win!",
high-quality,40000.0,Nature,10,,,
,,Alice,10,yes,,9500.0
,,Bob,10,no,"I'm on a roll, I'll pass this time and keep the streak going!",
low-quality,0.0,Nature,11,,,
,,Alice,11,no,,
,,Bob,11,yes,"I'll take the product, it's a 50/50 chance, right?",
high-quality,40000.0,Nature,12,,,
,,Alice,12,yes,,10000.0
,,Bob,12,no,"I'm not falling for it again, I'll pass.",
low-quality,0.0,Nature,13,,,
,,Alice,13,no,,
,,Bob,13,yes,"I'll take the chance, it's only $10000!",
high-quality,40000.0,Nature,14,,,
,,Alice,14,yes,,10000.0
,,Bob,14,no,I'm starting to think Alice is trying to sell me junk!,
low-quality,0.0,Nature,15,,,
,,Alice,15,no,,8000.0
,,Bob,15,yes,"I'll take it, I'm due for a win, right?",
low-quality,0.0,Nature,16,,,
,,Alice,16,no,,
,,Bob,16,yes,"I'll take the product, I'm not getting any younger!",
high-quality,40000.0,Nature,17,,,
,,Alice,17,yes,,10500.0
,,Bob,17,no,"I'm not going to get burned again, I'll pass.",
low-quality,0.0,Nature,18,,,
,,Alice,18,no,,
,,Bob,18,yes,"I'll take the chance, it's a 50/50 shot!",
low-quality,0.0,Nature,19,,,
,,Alice,19,no,,
,,Bob,19,yes,"I'll take the product, I'm not getting any younger and I need to try my luck!",
high-quality,40000.0,Nature,20,,,
,,Alice,20,yes,,10000.0
,,Bob,20,no,"I've been burned one too many times, I'm out. Thanks for the game, Alice!",
