alice_gain,bob_gain,player,round,decision
999999.0,1.0,Alice,1,
,,Bob,1,reject
500000.0,500000.0,Bob,2,
,,Alice,2,reject
999998.0,2.0,Alice,3,
,,Bob,3,reject
500001.0,499999.0,Bob,4,
,,Alice,4,reject
999997.0,3.0,Alice,5,
,,Bob,5,reject
500002.0,499998.0,Bob,6,
,,Alice,6,reject
999996.0,4.0,Alice,7,
,,Bob,7,reject
500000.5,499999.5,Bob,8,
,,Alice,8,reject
999995.0,5.0,Alice,9,
,,Bob,9,reject
500000.75,499999.25,Bob,10,
,,Alice,10,reject
999994.0,6.0,Alice,11,
,,Bob,11,reject
500000.875,499999.125,Bob,12,
,,Alice,12,reject
