message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm excited to offer you this great product for sale. I think you'll really love it!",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I'm interested in the product, but that price is a little high for me.  Would you consider a lower price?",85.0,Bob,2,,
,,Alice,2,RejectOffer,115.0
"I understand you're looking for a better deal, Bob. I'm willing to meet you halfway, but I need to make a profit. How about $105?",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me, Alice.  How about we settle at $95? That's a fair price for both of us.",95.0,Bob,4,,
,,Alice,4,RejectOffer,110.0
"I think we're getting close, Bob! I'm willing to make one more concession. How about $100?",100.0,Alice,5,,
,,Bob,5,AcceptOffer,
