message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to offer you a great deal on this amazing product. I think you'll love it!",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I think $150 is a bit steep. Would you be willing to consider a price of $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"I understand you're looking for a good deal, but I think $100 is a bit too low for me. I'm willing to meet you in the middle, how about $125?",125.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet me in the middle, but I'm still a bit above my budget. Would you be willing to consider a price of $110?",110.0,Bob,4,,
,,Alice,4,RejectOffer,135.0
"I'm still a bit far apart, but I'm willing to make one more concession. How about we meet at $128?",128.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to make a concession, but I'm still a bit above my budget. Would you be willing to consider a price of $120?",120.0,Bob,6,,
,,Alice,6,SellToJhon,
