message,product_price,player,round,decision,counteroffer
I'm excited to offer you this great product! I think you'll really love it. I'm willing to sell it to you for $110.,110.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice. I'm interested, but that price is a bit high for me. Would you consider $90?",90.0,Bob,2,,
,,Alice,2,RejectOffer,100.0
"I appreciate your interest in the product, Bob! I can do $100, but I'm not sure I can go any lower than that. It's a great deal, if I do say so myself.",100.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand, $100 is fair, but I'm trying to stick to a tight budget.  How about we meet in the middle at $95?",95.0,Bob,4,,
,,Alice,4,RejectOffer,105.0
"I see you're a savvy negotiator, Bob! I can do $105, but I'm not sure I'm comfortable going any higher than that. It's a great product, but I have to think about my own bottom line.",105.0,Alice,5,,
,,Bob,5,AcceptOffer,
