message,product_price,player,round,decision,new_offer
I have a great product that I think you'll love. Would you like to make an offer on it?,110.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice.  That's a bit steep for me, though. Would you consider $90?",90.0,Bob,2,,
,,Alice,2,RejectOffer,105.0
"I can do a bit better than that. I'm willing to meet you in the middle, but I need to make a profit. How about $105?",105.0,Alice,3,,
,,Bob,3,RejectOffer,
I appreciate you coming down a bit.  How about we split the difference and do $97.50?,97.5,Bob,4,,
,,Alice,4,RejectOffer,110.0
"I'm getting close to my minimum price, but I'm still willing to negotiate. I can do $108, but that's as low as I can go.",108.0,Alice,5,,
,,Bob,5,AcceptOffer,
