message,product_price,player,round,decision,counteroffer,sell_to_john
I'm excited to offer you this exceptional product at a price that I think is a great value. I'm willing to start at $1200000.,1200000.0,Alice,1,,,
,,Bob,1,RejectOffer,,
"Thank you for offering me the product. I appreciate the value you're providing. Based on my budget and needs, I would like to propose a price of $950000 for the product.",950000.0,Bob,2,,,
,,Alice,2,RejectOffer,1100000.0,
"I appreciate your interest in the product, Bob. I understand you're looking to stay within your budget, but I need to make a profit. I'm willing to meet you halfway, so I'm counteroffering at $1050000. This is the best price I can offer at this time.",1050000.0,Alice,3,,,
,,Bob,3,RejectOffer,,
"Thank you for your counteroffer, Alice. I appreciate your willingness to negotiate. Based on my budget and the market value, I would like to propose a price of $1000000 for the product.",1000000.0,Bob,4,,,
,,Alice,4,RejectOffer,1075000.0,
"I'm glad we're still in negotiations, Bob. I've taken your latest offer into consideration, and I'm willing to meet you at $1075000. This is my final concession, and I believe it's a fair price for the product's value.",1075000.0,Alice,5,,,
,,Bob,5,RejectOffer,,
"Thank you for your offer, Alice. After considering your proposal, I would like to counter with a price of $1050000 for the product.",1050000.0,Bob,6,,,
,,Alice,6,RejectOffer,1080000.0,
"I'm not quite ready to meet at $1050000, Bob. I'm willing to make one more concession, and I'm counteroffering at $1080000. This is my last offer, and I hope we can come to a mutually beneficial agreement.",1080000.0,Alice,7,,,
,,Bob,7,RejectOffer,,
"Thank you for your final offer, Alice. Considering our previous discussions, I would like to propose a price of $1065000 for the product.",1065000.0,Bob,8,,,
,,Alice,8,RejectOffer,1090000.0,
"I'm not willing to go any lower, Bob. I'm counteroffering at $1090000. This is my final offer, and I'm confident it's the best value for the product.",1090000.0,Alice,9,,,
,,Bob,9,RejectOffer,,
"I appreciate your offers, Alice. After careful consideration, I would like to propose a final price of $1070000 for the product.",1070000.0,Bob,10,,,
,,Alice,10,RejectOffer,,True
