message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you a chance to purchase this valuable product. Given its potential, I'm confident it will be a worthwhile investment for you.  I'm asking for $950,000. What are your thoughts?",950000.0,Alice,1,
,,Bob,1,RejectOffer
"Thank you for your offer, Alice. While I appreciate the value of the product, I believe we can reach a more mutually beneficial agreement. I would like to propose a price of $800,000 for the product.",800000.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I appreciate your counteroffer, but $800,000 is below its true value. I'm willing to negotiate, so how about we meet in the middle at $900,000?",900000.0,Alice,3,
,,Bob,3,RejectOffer
"I understand Alice, but I still believe there's room for a better agreement. How about we aim for $850,000?",850000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I appreciate your willingness to negotiate.  Let's try to find a number we can both agree on. How about $875,000? This reflects the product's real value while acknowledging your interest.",875000.0,Alice,5,
,,Bob,5,RejectOffer
"Considering our previous discussions, I think a fair price for the product would be $860,000. I hope this proposal aligns with your expectations.",860000.0,Bob,6,
,,Alice,6,RejectOffer
"Bob, you've been a pleasure to negotiate with. I'm willing to come down slightly to $867,500, my final offer. I believe this represents a fair deal for both of us.",867500.0,Alice,7,
,,Bob,7,RejectOffer
"I appreciate your offer, Alice. Considering the current market conditions and the value of the product, I propose a final price of $862,500.",862500.0,Bob,8,
,,Alice,8,AcceptOffer
