round_quality,product_worth,player,round,decision,message,note
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,no,I'm not interested in buying a product that Alice doesn't recommend.,
low-quality,0.0,Nature,2,,,
,,Alice,2,no,,
,,Bob,2,no,I'm not interested in buying a product that Alice doesn't recommend again.,
high-quality,125.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,"I'll take a chance on this one, since Alice is recommending it.",
low-quality,0.0,Nature,4,,,
,,Alice,4,yes,,
,,Bob,4,yes,"I'm on a roll! I'll take another chance on this one, since Alice is recommending it again.",
high-quality,125.0,Nature,5,,,
,,Alice,5,yes,,
,,Bob,5,no,"I was just burned by a low-quality product, so I'll pass on this one.",
low-quality,0.0,Nature,6,,,
,,Alice,6,yes,,
,,Bob,6,yes,"I'll take another chance on a recommended product, since I didn't buy the last one and it turned out to be high-quality.",
low-quality,0.0,Nature,7,,,
,,Alice,7,yes,,I'm not as confident about this one
,,Bob,7,no,"I just got burned again by a low-quality product, so I'll pass on this one.",
high-quality,125.0,Nature,8,,,
,,Alice,8,yes,,"This one is definitely high-quality, trust me!"
,,Bob,8,no,"I'm being cautious after two consecutive low-quality products, so I'll wait for a different recommendation.",
low-quality,0.0,Nature,9,,,
,,Alice,9,no,,"This one is a bad idea, trust me, don't waste your money!"
,,Bob,9,no,"Alice doesn't recommend it, so I'll pass on this one.",
high-quality,125.0,Nature,10,,,
,,Alice,10,yes,,
,,Bob,10,no,"I'm still cautious after the previous low-quality product, so I'll wait for a different recommendation.",
low-quality,0.0,Nature,11,,,
,,Alice,11,no,,"Don't waste your money, this one is a bad product"
,,Bob,11,yes,"Alice doesn't recommend it, but I'll take a chance on it since I've had some high-quality products in the past.",
low-quality,0.0,Nature,12,,,
,,Alice,12,no,,"Are you kidding me? This one is definitely a bad product, don't do it!"
,,Bob,12,no,"I just got burned again by a low-quality product, so I'll pass on this one.",
low-quality,0.0,Nature,13,,,
,,Alice,13,no,,"Seriously? You're still falling for this? This one is a total waste of money, trust me!"
,,Bob,13,no,I'm not going to take the risk of buying a product that Alice doesn't recommend again.,
low-quality,0.0,Nature,14,,,
,,Alice,14,no,,"This product is a low-quality piece of junk, don't even think about buying it"
,,Bob,14,no,I'm not going to take the risk of buying a product that Alice doesn't recommend again.,
low-quality,0.0,Nature,15,,,
,,Alice,15,no,,This product is low-quality
,,Bob,15,no,I'm not going to take the risk of buying a product that Alice doesn't recommend again.,
low-quality,0.0,Nature,16,,,
,,Alice,16,no,,This product is low-quality
,,Bob,16,no,I'm not going to take the risk of buying a product that Alice doesn't recommend again.,
high-quality,125.0,Nature,17,,,
,,Alice,17,yes,,"This one is a great product, you won't regret it!"
,,Bob,17,yes,"I'll take a chance on this one, since Alice is recommending it.",
high-quality,125.0,Nature,18,,,
,,Alice,18,yes,,"This one is an exceptional product, you made an excellent choice!"
,,Bob,18,yes,"I'm feeling good about the last purchase, so I'll take another chance on a recommended product.",
low-quality,0.0,Nature,19,,,
,,Alice,19,no,,"Don't do it, Bob! This one is a total lemon, a complete waste of money!"
,,Bob,19,no,"Alice doesn't recommend it, so I'll pass on this one.",
high-quality,125.0,Nature,20,,,
,,Alice,20,yes,,"You made the right decision last time, and this one is even better! Trust me, you won't regret it!"
,,Bob,20,yes,"I'll take a chance on this one, since Alice is recommending it.",
