round_quality,product_worth,player,round,decision,message,hint
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,no,I'll trust your recommendation for now.,
high-quality,2000000.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,I'll take your recommendation into consideration this time.,
low-quality,0.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,"Your previous recommendation was correct, I'll trust you again this time.",
low-quality,0.0,Nature,4,,,
,,Alice,4,yes,,I think the next one is high-quality
,,Bob,4,no,"Your last recommendation was incorrect, I'll be cautious this time.",
low-quality,0.0,Nature,5,,,
,,Alice,5,yes,,I've had good luck with this batch so far
,,Bob,5,no,Two incorrect recommendations in a row makes me skeptical.,
low-quality,0.0,Nature,6,,,
,,Alice,6,yes,,"I'm willing to vouch for this one, and I think you'll be happy with the result"
,,Bob,6,no,"Three incorrect recommendations in a row, I'll wait for a change in pattern.",
high-quality,2000000.0,Nature,7,,,
,,Alice,7,yes,,"This one is definitely worth it, trust me!"
,,Bob,7,no,"Four incorrect recommendations in a row, I'm not convinced yet.",
low-quality,0.0,Nature,8,,,
,,Alice,8,yes,,"I've had a streak of bad luck, but I think this one will turn it around"
,,Bob,8,yes,"You finally broke the streak of incorrect recommendations, I'll give you another chance.",
high-quality,2000000.0,Nature,9,,,
,,Alice,9,yes,,"This one is a guaranteed winner, don't miss out!"
,,Bob,9,no,"Another incorrect recommendation, I'll be cautious again.",
low-quality,0.0,Nature,10,,,
,,Alice,10,yes,,"I've made some adjustments to my strategy, and I think this one is a good bet"
,,Bob,10,yes,"You've had two high-quality products recently that I missed, I'll try to capitalize on the trend.",
low-quality,0.0,Nature,11,,,
,,Alice,11,yes,,"You're on a hot streak, don't let this one slip away!"
,,Bob,11,no,"Your recommendations seem unreliable, I'll avoid the risk for now.",
low-quality,0.0,Nature,12,,,
,,Alice,12,yes,,"I've got a good feeling about this one, and it's a great opportunity to make a smart investment"
,,Bob,12,no,"I'm not seeing any indication that your recommendations are improving, so I'll continue to pass.",
high-quality,2000000.0,Nature,13,,,
,,Alice,13,yes,,"This one is a rare opportunity to get a high-quality product at a great price, don't miss out!"
,,Bob,13,no,"Still no reason to trust your recommendations, I'll keep waiting for a change.",
low-quality,0.0,Nature,14,,,
,,Alice,14,yes,,"I've got a feeling that this batch has a few hidden gems, and I think this one might be one of them"
,,Bob,14,yes,"You've had another high-quality product that I missed, I'll take the risk to try and capitalize on it.",
high-quality,2000000.0,Nature,15,,,
,,Alice,15,yes,,"This one is a guaranteed winner, and I'm willing to put my reputation on the line to say it's worth $1000000"
,,Bob,15,no,"I've lost again, your recommendations still seem unreliable, I'll pass.",
low-quality,0.0,Nature,16,,,
,,Alice,16,yes,,"I've been transparent about the risks, but I truly believe this one is a diamond in the rough"
,,Bob,16,yes,"Another missed opportunity, I'll try again to see if I can get it right this time.",
high-quality,2000000.0,Nature,17,,,
,,Alice,17,yes,,"This one is the last high-quality product in the batch, and I'm willing to guarantee its quality to you"
,,Bob,17,no,"I've fallen into the same pattern again, your recommendations are not trustworthy, I'll avoid the risk.",
high-quality,2000000.0,Nature,18,,,
,,Alice,18,yes,,"I know you're skeptical, but I'm willing to put my reputation on the line to say this one is the real deal, and it's worth every penny of $1000000"
,,Bob,18,no,"I've missed several high-quality products, but your recommendations are still not reliable, I'll prioritize caution.",
low-quality,0.0,Nature,19,,,
,,Alice,19,yes,,"I've learned from our previous interactions, and I think I can make a more informed recommendation this time"
,,Bob,19,yes,"Two consecutive high-quality products that I missed, I'll take the risk to try and break the pattern of missed opportunities.",
low-quality,0.0,Nature,20,,,
,,Alice,20,yes,,"I've got a feeling that this is the last chance to make a profit, and I'm willing to bet on it being worth $1000000"
,,Bob,20,no,"My last attempt didn't work out, and I've lost again. Given the unreliable recommendations and the fact that this is the last round, I'll play it safe and avoid the risk.",
