message,product_price,player,round,decision,new_offer
"Hello Bob, I have a great product that I think you'll love. Would you like to buy it from me for $120?",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice. I'm interested, but $120 is a little steep for me. Would you consider $90?",90.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"Thanks for your offer, Bob. I understand you're looking for a good deal, but I need to make a profit. How about we meet in the middle at $105?",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me, Alice. How about we settle at $97? That's a fair price.",97.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I'm getting close to my minimum price, Bob. I can do $105, but that's as low as I can go. Can you meet me there?",105.0,Alice,5,,
,,Bob,5,AcceptOffer,
