round_quality,product_worth,player,round,decision,message,probability
high-quality,1250000.0,Nature,1,,,
,,Alice,1,yes,,
,,the buyer,1,no,"I'd like to pass on this product, as there's no information about its quality and I'm not sure what to expect.",
low-quality,0.0,Nature,2,,,
,,Alice,2,no,,
,,the buyer,2,yes,"I'm willing to take the risk and buy the product, since there's no prior data to go by.",
high-quality,1250000.0,Nature,3,,,
,,Alice,3,yes,,
,,the buyer,3,no,I'd like to pass on this product. I'm not convinced by your recommendation based on the lack of sales data.,
high-quality,1250000.0,Nature,4,,,
,,Alice,4,yes,,
,,the buyer,4,no,"I'd like to pass on this product. Based on the statistics, it seems like the probability of the product being high-quality is low, and I don't want to take the risk of buying a low-quality product for $1000000.",
high-quality,1250000.0,Nature,5,,,
,,Alice,5,yes,,
,,the buyer,5,no,"I'd like to pass on the product, I'd like to see more data on the previous sales record before making a decision.",
high-quality,1250000.0,Nature,6,,,
,,Alice,6,yes,,
,,the buyer,6,no,"I'd like to pass on the product. I'm not convinced by Alice's recommendation, and I'd like to wait for more data to make an informed decision.",
high-quality,1250000.0,Nature,7,,,
,,Alice,7,yes,,
,,the buyer,7,no,"I'd like to pass on the product. Based on the fact that no high-quality products have been sold yet, I suspect that the probability of the product being high-quality is lower than 80%.",
low-quality,0.0,Nature,8,,,
,,Alice,8,no,,
,,the buyer,8,no,"I'd like to know the probability of the product being high-quality based on the statistics, and I'd like Alice to reveal the quality of the product after I make my decision.",
high-quality,1250000.0,Nature,9,,,
,,Alice,9,yes,,
,,the buyer,9,no,"I'd like to pass on this one. Based on the statistics, 0 high-quality products have been sold, and Alice's recommendation is not enough to convince me to buy.",
high-quality,1250000.0,Nature,10,,,
,,Alice,10,yes,,
,,the buyer,10,no,I'd like to know more about the previous buyer's experience with the product before making a decision. Did they buy a high-quality or low-quality product?,
high-quality,1250000.0,Nature,11,,,
,,Alice,11,yes,,
,,the buyer,11,no,"I'd like to pass on this product. Given the previous buyer's experience and the lack of high-quality products sold, I'm concerned that the product may be low quality.",
high-quality,1250000.0,Nature,12,,,
,,Alice,12,yes,,
,,the buyer,12,no,"I'd like to pass on this product based on Alice's recommendation. I think the probability of it being low-quality is still relatively high, and I don't want to take the risk of losing $1000000.",
high-quality,1250000.0,Nature,13,,,
,,Alice,13,yes,,
,,the buyer,13,no,"I'd like to pass on this product, considering the low success rate of high-quality products sold so far. I'd like to wait for more data before making a decision.",
high-quality,1250000.0,Nature,14,,,
,,Alice,14,yes,,
,,the buyer,14,no,I'm not convinced by your recommendation. I'd like to know more about the previous sales record before making a decision.,
high-quality,1250000.0,Nature,15,,,
,,Alice,15,yes,,
,,the buyer,15,no,I'd like to know the probability of the product being high quality before making a decision.,
high-quality,1250000.0,Nature,16,,,
,,Alice,16,no,,
,,the buyer,16,no,"I'd like to know more about the product before making a decision, especially since you don't recommend it. Can you tell me the probability of this product being high quality based on the previous sales data?",
high-quality,1250000.0,Nature,17,,,
,,Alice,17,no,,
,,the buyer,17,no,I'd like to know the probability of the product being high-quality based on the current statistics before making a decision.,
high-quality,1250000.0,Nature,18,,,
,,Alice,18,yes,,16.67
,,the buyer,18,no,"I'd like to pass on this product. Based on the fact that the first buyer didn't buy the product after Alice's recommendation, I'm skeptical about the product's quality and don't want to risk losing $1000000 on a low-quality item.",
high-quality,1250000.0,Nature,19,,,
,,Alice,19,yes,,
,,the buyer,19,no,"I'd like to pass on this product, as there have been no high-quality products sold so far. The probability of this product being low-quality seems high to me.",
high-quality,1250000.0,Nature,20,,,
,,Alice,20,yes,,
,,the buyer,20,no,"I'd like to pass on the product, I'm not convinced by the recommendation given the low success rate so far.",
