message,product_price,player,round,decision,newOffer
"Hello Bob, I'm excited to offer you this great product! I think you'll really love it. I'm willing to sell it to you for $180.",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I appreciate you're willing to negotiate.  $180 is a bit higher than I'd like to pay.  How about $155? ",155.0,Bob,2,,
,,Alice,2,RejectOffer,170.0
"I understand you'd like to pay a bit less, Bob. However, I still think $180 is a fair price for this great product. I'm willing to meet you in the middle at $172.50",172.5,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to compromise, but $172.50 is still a little more than I'm comfortable with.  How about we split the difference and go with $163.75? ",163.75,Bob,4,,
,,Alice,4,RejectOffer,168.0
"I see you're really trying to get a good deal, Bob! I'm willing to meet you at $165, but I think it's getting close to my minimum price. Let's see if we can meet in the middle one more time",165.0,Alice,5,,
,,Bob,5,BuyFromJhon,
