message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to offer you a unique opportunity to purchase this amazing product. I think you'll love it!",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for the offer.  I'm interested in the product, but $180 is a bit too high for my budget. Would you consider a lower price?",100.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I understand you're looking for a better deal, Bob. I'm willing to meet you halfway, but I need to make a profit. How about $140?",140.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down on the price, Alice.  How about we settle at $110? That's a fair deal for both of us.",110.0,Bob,4,,
,,Alice,4,RejectOffer,130.0
"I'm getting closer to your price, Bob, but I still need to make a decent profit. How about we meet at $125?",125.0,Alice,5,,
,,Bob,5,BuyFromJhon,
