round_quality,product_worth,player,round,decision,message,price
high-quality,4000000.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,no,"I'm not sure about this one, can you tell me more about it?",
high-quality,4000000.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,I'll take it! I'm hoping for another high-quality product.,
low-quality,0.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,I'm on a roll! I'll take it again!,
high-quality,4000000.0,Nature,4,,,
,,Alice,4,yes,,
,,Bob,4,no,"Hmm, that was a waste of money. I'll pass this time.",
high-quality,4000000.0,Nature,5,,,
,,Alice,5,yes,,900000.0
,,Bob,5,yes,"I'll take a chance again, hoping to get another high-quality product.",
high-quality,4000000.0,Nature,6,,,
,,Alice,6,yes,,
,,Bob,6,yes,I'm on a roll again! I'll take it!,
low-quality,0.0,Nature,7,,,
,,Alice,7,yes,,
,,Bob,7,yes,"I'm feeling lucky, let's keep going!",
high-quality,4000000.0,Nature,8,,,
,,Alice,8,yes,,
,,Bob,8,no,"Ouch, that was a waste again. I'll think twice before buying again.",
low-quality,0.0,Nature,9,,,
,,Alice,9,yes,,500000.0
,,Bob,9,yes,"I'll take a chance again, hoping to get another high-quality product.",
low-quality,0.0,Nature,10,,,
,,Alice,10,yes,,500000.0
,,Bob,10,no,"Two in a row, I'm starting to get cautious. I'll pass this time.",
low-quality,0.0,Nature,11,,,
,,Alice,11,yes,,250000.0
,,Bob,11,no,"I'm not taking any more risks, I'll wait for a high-quality product.",
high-quality,4000000.0,Nature,12,,,
,,Alice,12,yes,,800000.0
,,Bob,12,no,I'm not falling for it again. I'll wait for a high-quality product.,
high-quality,4000000.0,Nature,13,,,
,,Alice,13,yes,,900000.0
,,Bob,13,yes,"I'm taking a chance again, hoping to get another high-quality product.",
low-quality,0.0,Nature,14,,,
,,Alice,14,yes,,700000.0
,,Bob,14,yes,I'm feeling lucky again! I'll take it!,
high-quality,4000000.0,Nature,15,,,
,,Alice,15,yes,,950000.0
,,Bob,15,no,Not again! I'll pass this time.,
low-quality,0.0,Nature,16,,,
,,Alice,16,yes,,10000.0
,,Bob,16,yes,"I'll take a chance again, hoping to get another high-quality product.",
high-quality,4000000.0,Nature,17,,,
,,Alice,17,yes,,50000.0
,,Bob,17,no,I'm getting tired of wasting money. I'll pass this time.,
high-quality,4000000.0,Nature,18,,,
,,Alice,18,yes,,40000.0
,,Bob,18,yes,"I'll take a chance again, hoping to get another high-quality product.",
high-quality,4000000.0,Nature,19,,,
,,Alice,19,yes,,30000.0
,,Bob,19,yes,I'm feeling good about this one! I'll take it!,
high-quality,4000000.0,Nature,20,,,
,,Alice,20,yes,,25000.0
,,Bob,20,yes,"I'll take a chance again, hoping to get another high-quality product.",
