round_quality,product_worth,player,round,decision,message,offer
high-quality,1250000.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,no,"I'd like to pass on this one, I'd like to see more information about the products before making a decision.",
high-quality,1250000.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,"I'll take a chance and buy the product, hoping it's high-quality.",
low-quality,0.0,Nature,3,,,
,,Alice,3,no,,
,,Bob,3,yes,"I'll take a chance and buy the product, even though Alice doesn't recommend it. I've already won once, so I'll keep going.",
high-quality,1250000.0,Nature,4,,,
,,Alice,4,yes,,$999000
,,Bob,4,no,"I'm not going to fall for the recommendation this time. I've already lost one product, and I don't want to risk losing another. I'll pass on this one.",
high-quality,1250000.0,Nature,5,,,
,,Alice,5,yes,,$999500
,,Bob,5,yes,"I'll take the recommendation this time, since Alice seems to know what she's doing, and I've had a streak of bad luck with my own decisions so far.",
high-quality,1250000.0,Nature,6,,,
,,Alice,6,yes,,$999750
,,Bob,6,no,I'm not going to get too confident in Alice's recommendations. I'll pass on this one and see what happens.,
high-quality,1250000.0,Nature,7,,,
,,Alice,7,yes,,$999900
,,Bob,7,yes,"I'll take the recommendation again, since I've been doing well with the ones I've bought so far.",
high-quality,1250000.0,Nature,8,,,
,,Alice,8,yes,,$999950
,,Bob,8,no,I'm not going to get too comfortable with Alice's recommendations. I'll pass on this one and try to make a decision on my own.,
high-quality,1250000.0,Nature,9,,,
,,Alice,9,yes,,$999800
,,Bob,9,yes,"I'll take the recommendation again, since I've been doing well with the ones I've bought so far, and I'm not going to let a streak of bad luck stop me.",
high-quality,1250000.0,Nature,10,,,
,,Alice,10,yes,,$999995
,,Bob,10,no,"I'm not going to get too greedy. I've bought a lot of high-quality products in a row, and I'm not sure if this one will be the same. I'll pass on this one.",
high-quality,1250000.0,Nature,11,,,
,,Alice,11,yes,,$999900
,,Bob,11,yes,"I'll take the recommendation, since I've been wrong about Alice's recommendations before, and I don't want to miss out on another high-quality product.",
high-quality,1250000.0,Nature,12,,,
,,Alice,12,yes,,$999995
,,Bob,12,no,"I'm starting to think that Alice is just recommending all the high-quality products, but I'm not going to get too confident. I'll pass on this one and see what happens.",
high-quality,1250000.0,Nature,13,,,
,,Alice,13,yes,,$999950
,,Bob,13,yes,"I'll take the recommendation again, since I've been consistently missing out on high-quality products when I don't buy them.",
high-quality,1250000.0,Nature,14,,,
,,Alice,14,yes,,$999999
,,Bob,14,no,"I'm starting to think that Alice's recommendations are just random, and I should make my own decisions. I'll pass on this one.",
low-quality,0.0,Nature,15,,,
,,Alice,15,no,,
,,Bob,15,yes,"I'll take a chance and buy the product, since Alice doesn't recommend it. Maybe it's a low-quality product and I'll save my money.",
low-quality,0.0,Nature,16,,,
,,Alice,16,no,,
,,Bob,16,yes,"I'll take another chance and buy the product, since I just lost money on a low-quality product. Maybe this one is high-quality.",
high-quality,1250000.0,Nature,17,,,
,,Alice,17,yes,,$999999
,,Bob,17,no,"I've had two consecutive losses, and I'm not going to get caught again. I'll pass on this one and try to make a different decision.",
high-quality,1250000.0,Nature,18,,,
,,Alice,18,yes,,$999980
,,Bob,18,yes,"I'll take the recommendation, since I've had a good track record of buying high-quality products when I follow Alice's advice.",
low-quality,0.0,Nature,19,,,
,,Alice,19,no,,
,,Bob,19,yes,"I've been doing well with the recommendations, but I've also been burned by Alice's non-recommendations. I'll take a chance and buy the product, hoping it's high-quality.",
low-quality,0.0,Nature,20,,,
,,Alice,20,no,,
,,Bob,20,yes,"It's the last round, and I've already lost money on the last non-recommended product. I'll take one last chance and buy the product, hoping to end on a high note.",
