message,product_price,player,round,decision,new_price
"Hi Bob, I'm excited to offer you this great product for sale. I think you'll really like it!",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $90. Would you be willing to meet me in the middle?",90.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a good deal, but I'm not willing to go as low as $90. How about we meet in the middle at $110?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I'm not sure I can go as high as $110. How about we meet in the middle at $95? I'm really interested in the product, but I have a budget to stick to.",95.0,Bob,4,,
,,Alice,4,RejectOffer,105.0
"I appreciate your persistence, Bob! I'm willing to meet you halfway between $95 and $110, so how about we try $102.50?",102.5,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to compromise, but $102.50 is still a bit out of my budget. How about we try $97.50? I'm really interested in the product and I think we can find a mutually beneficial price.",97.5,Bob,6,,
,,Alice,6,RejectOffer,105.0
"I think we're getting close, Bob! I'm willing to meet you halfway between $97.50 and $102.50, so how about we try $100? It's the price I was willing to sell it to John for, and I think it's a fair price for both of us.",100.0,Alice,7,,
,,Bob,7,AcceptOffer,
