message,product_price,player,round,decision,new_offer
"Hi Bob, I'm excited to offer you this amazing product for sale. It's a one-of-a-kind item that I think you'll really love. Would you like to purchase it from me for $150?",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm really interested in the product, but $150 is a bit steep for me. Would you be willing to consider a lower price?",120.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"I understand you're looking for a better deal, Bob. I can see the value in this product and I'm willing to meet you halfway. Would you be willing to consider $140 for the product?",140.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet me halfway, but I'm still a bit short on budget. Would you be willing to consider a lower price?",110.0,Bob,4,,
,,Alice,4,RejectOffer,130.0
"I'm getting close to my minimum price, Bob, but I still think this product is worth a bit more than $110. I'm willing to compromise and meet you at $130. Is that something you'd be interested in?",130.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to compromise, but $130 is still a bit higher than I'd like to pay. Would you be willing to meet me at $120?",120.0,Bob,6,,
,,Alice,6,SellToJhon,
