alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Let's split it fairly, Bob. 60 for me, 40 for you. What do you say?",Alice,1,
,,,Bob,1,reject
45.0,55.0,"Let's try a bit more fair split, 55 for me, 45 for you.",Bob,2,
,,,Alice,2,reject
55.0,45.0,"Okay Bob, let's meet in the middle. I'll take my previous offer, 55 for me and 45 for you.  The clock is ticking!",Alice,3,
,,,Bob,3,reject
42.0,58.0,"My turn to propose the middle ground, 58 for me, 42 for you. Inflation is looming!",Bob,4,
,,,Alice,4,reject
57.0,43.0,"Bob, we're running out of time! I'm willing to come down a little bit to 57.  Take it before inflation eats our profits!",Alice,5,
,,,Bob,5,reject
40.0,60.0,"I'll take a firmer stance, 60 for me, 40 for you. Inflation is taking its toll!",Bob,6,
,,,Alice,6,accept
