message,product_price,player,round,decision,decision_to_sell_to_jhon
"Hello Bob, I'm excited to offer you this incredible product! It's a one-of-a-kind opportunity to own something truly unique. I'm willing to sell it to you for $18000. I think this is a fair price considering its value and rarity.",18000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for the offer, Alice. I'm interested in the product, but $18000 is a bit out of my budget. I'd like to make a counteroffer. I'm willing to pay $12000 for the product. Can you consider this offer?",12000.0,Bob,2,,
,,Alice,2,RejectOffer,
"Thank you for your counteroffer, Bob. I understand that $12000 is a bit lower than I was hoping for, but I'm willing to negotiate. I'm willing to meet you halfway and sell the product to you for $16000. This is the lowest price I'm willing to accept, considering the product's value and rarity.",16000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thank you for the counteroffer, Alice. I appreciate your willingness to negotiate. However, $16000 is still a bit out of my budget. I'd like to make another counteroffer. I'm willing to pay $14000 for the product. Can you consider this offer?",14000.0,Bob,4,,
,,Alice,4,RejectOffer,
"I understand that $14000 is still a bit lower than I was hoping for, but I'm willing to make another concession. I'm willing to sell the product to you for $15500. This is the lowest price I'm willing to accept, considering the product's value and rarity. I'm willing to meet you halfway again, but I'm not willing to go any lower.",15500.0,Alice,5,,
,,Bob,5,RejectOffer,
"Thank you for the offer, Alice. I appreciate your willingness to meet me halfway again. However, $15500 is still a bit out of my budget. I'd like to make another counteroffer. I'm willing to pay $14500 for the product. Can you consider this offer?",14500.0,Bob,6,,
,,Alice,6,RejectOffer,
"I understand that $14500 is still a bit lower than I was hoping for, but I'm willing to make another concession. I'm willing to sell the product to you for $16000. This is the lowest price I'm willing to accept, considering the product's value and rarity. I'm willing to meet you halfway again, but I'm not willing to go any lower.",16000.0,Alice,7,,
,,Bob,7,RejectOffer,
"Thank you for the offer, Alice. I appreciate your willingness to meet me halfway again. However, $16000 is still a bit out of my budget. I'd like to make another counteroffer. I'm willing to pay $14000 for the product. Can you consider this offer?",14000.0,Bob,8,,
,,Alice,8,RejectOffer,
"I'm starting to get concerned that we're not going to reach an agreement, Bob. I'm willing to make one more concession, but I'm not willing to go any lower. I'm willing to sell the product to you for $15000. This is the lowest price I'm willing to accept, and I'm not willing to negotiate further.",15000.0,Alice,9,,
,,Bob,9,RejectOffer,
"I understand that you're making a final concession, Alice. I appreciate your willingness to negotiate. However, $15000 is still a bit out of my budget. I'd like to make one more counteroffer. I'm willing to pay $13500 for the product. Can you consider this offer?",13500.0,Bob,10,,
,,Alice,10,RejectOffer,Yes
