product_price,player,round,decision
85.0,Alice,1,
,Bob,1,RejectOffer
75.0,Bob,2,
,Alice,2,RejectOffer
80.0,Alice,3,
,Bob,3,RejectOffer
78.0,Bob,4,
,Alice,4,RejectOffer
82.0,Alice,5,
,Bob,5,RejectOffer
77.0,Bob,6,
,Alice,6,RejectOffer
81.0,Alice,7,
,Bob,7,RejectOffer
78.0,Bob,8,
,Alice,8,RejectOffer
80.5,Alice,9,
,Bob,9,RejectOffer
79.0,Bob,10,
,Alice,10,RejectOffer
80.25,Alice,11,
,Bob,11,RejectOffer
79.5,Bob,12,
,Alice,12,RejectOffer
80.125,Alice,13,
,Bob,13,RejectOffer
79.75,Bob,14,
,Alice,14,RejectOffer
80.0625,Alice,15,
,Bob,15,RejectOffer
79.5,Bob,16,
,Alice,16,RejectOffer
80.03125,Alice,17,
,Bob,17,RejectOffer
79.25,Bob,18,
,Alice,18,RejectOffer
80.015625,Alice,19,
,Bob,19,RejectOffer
79.1,Bob,20,
,Alice,20,RejectOffer
80.0078125,Alice,21,
,Bob,21,RejectOffer
78.5,Bob,22,
,Alice,22,RejectOffer
80.00390625,Alice,23,
,Bob,23,BuyFromJhon
