message,product_price,player,round,decision,newOffer
"Hello Bob, I'm excited to offer you this amazing product! I think you'll love it, and I'm willing to start the negotiation at $200.",200.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for the offer, but $200 is a bit too high for me. Would you consider $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,180.0
"Hi Bob, I understand you're looking for a better deal, but I'm not willing to go as low as $100. How about we meet in the middle at $160?",160.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me, Alice. How about $130? That's a fair price.",130.0,Bob,4,,
,,Alice,4,RejectOffer,155.0
"I'm glad we're still negotiating, Bob! I can do $145, but that's as low as I'm willing to go. Let's see if we can meet in the middle again.",145.0,Alice,5,,
,,Bob,5,AcceptOffer,
