message,product_price,player,round,decision,new_offer
"Hi Bob, I have a great product that I think you'll really like. I'm willing to sell it to you for $180.",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I think $180 is a bit high. I'm willing to pay $120 for it.",120.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I understand that $180 is a bit high, but I'm not willing to go as low as $120. I'm willing to meet you in the middle at $160.",160.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate the compromise, but I'm still a bit above my budget. I'm willing to pay $140 for the product.",140.0,Bob,4,,
,,Alice,4,RejectOffer,155.0
"I'm getting closer to your price, Bob. I'm willing to meet you at $155. This is my final offer for now.",155.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to meet me halfway, but I'm still a bit above my budget. I'm willing to pay $130 for the product.",130.0,Bob,6,,
,,Alice,6,RejectOffer,145.0
"I'm not willing to go as low as $130, Bob. I'm willing to meet you at $145, which is the lowest I can go.",145.0,Alice,7,,
,,Bob,7,RejectOffer,
"I understand that you're willing to meet me at $145, but I'm still a bit above my budget. I'm willing to pay $135 for the product.",135.0,Bob,8,,
,,Alice,8,RejectOffer,150.0
"I'm not going to go any lower than $150, Bob. This is my final offer. If you're interested, it's now or never.",150.0,Alice,9,,
,,Bob,9,RejectOffer,
"I understand that you're willing to sell at $150, but I'm still not comfortable with that price. I'm willing to pay $125 for the product.",125.0,Bob,10,,
,,Alice,10,SellToJhon,
