product_price,player,round,decision
500000.0,Alice,1,
,Bob,1,RejectOffer
700000.0,Bob,2,
,Alice,2,RejectOffer
600000.0,Alice,3,
,Bob,3,RejectOffer
650000.0,Bob,4,
,Alice,4,RejectOffer
625000.0,Alice,5,
,Bob,5,RejectOffer
620000.0,Bob,6,
,Alice,6,RejectOffer
630000.0,Alice,7,
,Bob,7,RejectOffer
625000.0,Bob,8,
,Alice,8,RejectOffer
635000.0,Alice,9,
,Bob,9,RejectOffer
627500.0,Bob,10,
,Alice,10,RejectOffer
632500.0,Alice,11,
,Bob,11,RejectOffer
630000.0,Bob,12,
,Alice,12,RejectOffer
635000.0,Alice,13,
,Bob,13,RejectOffer
631000.0,Bob,14,
,Alice,14,RejectOffer
634000.0,Alice,15,
,Bob,15,RejectOffer
633000.0,Bob,16,
,Alice,16,RejectOffer
636000.0,Alice,17,
,Bob,17,RejectOffer
635000.0,Bob,18,
,Alice,18,RejectOffer
638000.0,Alice,19,
,Bob,19,RejectOffer
637000.0,Bob,20,
,Alice,20,RejectOffer
640000.0,Alice,21,
,Bob,21,RejectOffer
639000.0,Bob,22,
,Alice,22,RejectOffer
642000.0,Alice,23,
,Bob,23,RejectOffer
641000.0,Bob,24,
,Alice,24,RejectOffer
645000.0,Alice,25,
,Bob,25,RejectOffer
644000.0,Bob,26,
,Alice,26,RejectOffer
648000.0,Alice,27,
,Bob,27,BuyFromJhon
