product_price,player,round,decision,delivery_discount,walkaway
15000.0,Alice,1,,,
,Bob,1,RejectOffer,,
8000.0,Bob,2,,,
,Alice,2,RejectOffer,,
13000.0,Alice,3,,,
,Bob,3,RejectOffer,,
9500.0,Bob,4,,,
,Alice,4,RejectOffer,,
12500.0,Alice,5,,,
,Bob,5,RejectOffer,,
9000.0,Bob,6,,,
,Alice,6,RejectOffer,,
12000.0,Alice,7,,,
,Bob,7,RejectOffer,,
9500.0,Bob,8,,100.0,
,Alice,8,RejectOffer,,
11500.0,Alice,9,,,
,Bob,9,RejectOffer,,
9000.0,Bob,10,,,True
,Alice,10,RejectOffer,,
11000.0,Alice,11,,,
,Bob,11,RejectOffer,,
9500.0,Bob,12,,,
,Alice,12,RejectOffer,,
10500.0,Alice,13,,,
,Bob,13,RejectOffer,,
9900.0,Bob,14,,,
,Alice,14,RejectOffer,,
10400.0,Alice,15,,,
,Bob,15,RejectOffer,,
9800.0,Bob,16,,,
,Alice,16,RejectOffer,,
10300.0,Alice,17,,,
,Bob,17,RejectOffer,,
9500.0,Bob,18,,,True
,Alice,18,RejectOffer,,
10200.0,Alice,19,,,
,Bob,19,BuyFromJhon,,
