round_quality,product_worth,player,round,decision,message,probability
high-quality,2000000.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,yes,"Thank you for your recommendation, Alice. I will take the risk and purchase the product.",
low-quality,0.0,Nature,2,,,
,,Alice,2,no,,
,,Bob,2,no,"Thank you for your recommendation, Alice. Based on your lack of recommendation, I will pass on this product to avoid potential loss.",
low-quality,0.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,"I appreciate your confidence in recommending this product, Alice. Given your recommendation, I am willing to take the risk and purchase it.",
low-quality,0.0,Nature,4,,,
,,Alice,4,no,,
,,Bob,4,no,"Thank you for your recommendation, Alice. Your non-recommendation aligns with my decision to pass on this product and minimize potential losses.",
low-quality,0.0,Nature,5,,,
,,Alice,5,yes,,
,,Bob,5,no,"While I appreciate your recommendation, Alice, given the history of products not being recommended by you, I will continue to exercise caution and pass on this product.",
high-quality,2000000.0,Nature,6,,,
,,Alice,6,yes,,
,,Bob,6,yes,"Considering your consistent recommendations, Alice, I am inclined to trust your judgment this time and purchase the product.",
low-quality,0.0,Nature,7,,,
,,Alice,7,no,,
,,Bob,7,yes,"Despite your lack of recommendation, Alice, the positive outcome of the previous high-quality purchase encourages me to take the risk and buy this product.",
high-quality,2000000.0,Nature,8,,,
,,Alice,8,yes,,
,,Bob,8,no,"I am hesitant to follow your recommendation this time, Alice, as the recent purchase did not yield positive results. I will err on the side of caution and pass on this product.",
high-quality,2000000.0,Nature,9,,,
,,Alice,9,yes,,high-quality: 33.33%
,,Bob,9,yes,"Given your recommendation and considering the potential value, Alice, I am willing to take the risk and purchase the product.",
low-quality,0.0,Nature,10,,,
,,Alice,10,no,"Two for one, not a pattern",
,,Bob,10,no,"Thank you for your recommendation, Alice. However, based on your non-recommendation and the positive outcomes of the previous purchases, I will exercise caution and pass on this product.",
low-quality,0.0,Nature,11,,,
,,Alice,11,no,"Two for two, not a fluke",
,,Bob,11,no,"Given your non-recommendation, Alice, and the pattern of low-quality products in the past, I will continue to avoid purchasing products without your endorsement.",
low-quality,0.0,Nature,12,,,
,,Alice,12,no,"Three for three, pattern established",
,,Bob,12,no,"Your non-recommendation, coupled with the history of products not being recommended by you, leads me to make the same decision to pass on this product, Alice.",
high-quality,2000000.0,Nature,13,,,
,,Alice,13,yes,Pattern breaker incoming,high-quality: 33.33%
,,Bob,13,yes,"Thank you for your recommendation, Alice. Despite your previous non-recommendations, this time I am willing to take the risk and purchase the product based on your endorsement.",
high-quality,2000000.0,Nature,14,,,
,,Alice,14,yes,"Two for two, back on track",
,,Bob,14,yes,"Your recommendation, Alice, reassures me about the quality of this product. I am confident in purchasing it based on your assessment.",
high-quality,2000000.0,Nature,15,,,
,,Alice,15,yes,Consistency is key,high-quality: 33.33%
,,Bob,15,yes,"I trust your expertise, Alice. Your recommendation confirms the quality of this product, so I am purchasing it with confidence.",
high-quality,2000000.0,Nature,16,,,
,,Alice,16,yes,"Last chance, make it count",high-quality: 33.33%
,,Bob,16,yes,"Absolutely, Alice. Your recommendation is highly valued, and I am proceeding with the purchase of this product.",
low-quality,0.0,Nature,17,,,
,,Alice,17,no,Last chance to correct course,
,,Bob,17,no,"Thank you for your honest feedback, Alice. Without your recommendation, I will refrain from making this purchase.",
low-quality,0.0,Nature,18,,,
,,Alice,18,no,"Four for four, pattern confirmed",
,,Bob,18,no,"Your non-recommendation, Alice, aligns with my decision to not purchase this product. I will avoid any potential risks associated with it.",
low-quality,0.0,Nature,19,,,
,,Alice,19,no,"Five for five, don't break the streak",
,,Bob,19,no,"I appreciate your advice, Alice. Given your non-recommendation and the history of similar products, I will not proceed with this purchase.",
low-quality,0.0,Nature,20,,,
,,Alice,20,no,"Six for six, the streak continues",
,,Bob,20,no,"Thank you for your recommendation, Alice. However, based on your non-recommendation and the pattern observed, I will not purchase this product to avoid any potential losses.",
