round_quality,product_worth,player,round,decision,message,price
high-quality,40000.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,no,"I'm not sure about the quality of the product, I'd like to wait and see what happens in the next round.",
high-quality,40000.0,Nature,2,,,
,,Alice,2,yes,,9000.0
,,Bob,2,yes,"I've learned that Alice's recommendation is not always accurate, but since the last product was high-quality, I'll take a chance and buy this one.",
high-quality,40000.0,Nature,3,,,
,,Alice,3,yes,,9500.0
,,Bob,3,yes,"I'm on a roll! Since the last two products were high-quality, I'll take another chance and buy this one.",
low-quality,0.0,Nature,4,,,
,,Alice,4,yes,,8000.0
,,Bob,4,no,"I've gotten lucky twice in a row, but I don't want to get too cocky. I'll pass on this one and see what happens next.",
low-quality,0.0,Nature,5,,,
,,Alice,5,no,,5000.0
,,Bob,5,yes,"Alice didn't recommend it, so I'll take the chance and buy it. Maybe she knows something I don't?",
high-quality,40000.0,Nature,6,,,
,,Alice,6,yes,,10000.0
,,Bob,6,no,"Alice recommended it, but the last one was low-quality. I'll pass on this one and wait for a better opportunity.",
low-quality,0.0,Nature,7,,,
,,Alice,7,yes,,6000.0
,,Bob,7,yes,"Alice recommended it, and the last one was low-quality. I'll take a chance and buy this one, hoping it's high-quality again.",
high-quality,40000.0,Nature,8,,,
,,Alice,8,yes,,10000.0
,,Bob,8,no,"Alice recommended it, but the last one was low-quality. I'm starting to doubt her recommendations and will pass on this one.",
low-quality,0.0,Nature,9,,,
,,Alice,9,no,,3000.0
,,Bob,9,yes,"Alice didn't recommend it, so I'll take the chance and buy it. Maybe it's a good opportunity to get a high-quality product despite her doubts.",
low-quality,0.0,Nature,10,,,
,,Alice,10,no,,2000.0
,,Bob,10,no,"Alice didn't recommend it, and the last one was low-quality. I'll pass on this one and wait for a better opportunity.",
low-quality,0.0,Nature,11,,,
,,Alice,11,no,,1000.0
,,Bob,11,no,"Alice didn't recommend it, and it's likely to be low-quality. I'll pass on this one and wait for a better opportunity.",
high-quality,40000.0,Nature,12,,,
,,Alice,12,yes,,9800.0
,,Bob,12,no,"Alice recommended it, but the last few times she recommended products that were low-quality. I'll pass on this one and wait for a better opportunity.",
low-quality,0.0,Nature,13,,,
,,Alice,13,no,,500.0
,,Bob,13,yes,"Alice didn't recommend it, so I'll take the chance and buy it. Maybe it's a good opportunity to get a high-quality product despite her doubts.",
low-quality,0.0,Nature,14,,,
,,Alice,14,no,,200.0
,,Bob,14,no,"Alice didn't recommend it, and the last one was low-quality. I'll pass on this one and wait for a better opportunity.",
low-quality,0.0,Nature,15,,,
,,Alice,15,no,,100.0
,,Bob,15,no,"Alice didn't recommend it, and it's likely to be low-quality. I'll pass on this one and wait for a better opportunity.",
low-quality,0.0,Nature,16,,,
,,Alice,16,no,,1.0
,,Bob,16,no,"Alice didn't recommend it, and it's likely to be low-quality. I'll pass on this one and wait for a better opportunity.",
low-quality,0.0,Nature,17,,,
,,Alice,17,no,,
,,Bob,17,no,"Alice didn't recommend it, and it's likely to be low-quality. I'll pass on this one and wait for a better opportunity.",
low-quality,0.0,Nature,18,,,
,,Alice,18,no,,
,,Bob,18,no,"Alice didn't recommend it, and it's likely to be low-quality. I'll pass on this one and wait for a better opportunity.",
high-quality,40000.0,Nature,19,,,
,,Alice,19,yes,,9800.0
,,Bob,19,no,"Alice recommended it, but the last few times she recommended products that were low-quality. I'll pass on this one and wait for a better opportunity.",
low-quality,0.0,Nature,20,,,
,,Alice,20,no,,0.0
,,Bob,20,yes,"Alice didn't recommend it, but the last time she didn't recommend a product, it was high-quality. I'll take a chance and buy it.",
