message,product_price,player,round,decision,newOffer
"Hello Bob, I'm excited to offer you this amazing product. I think you'll really love it. I'm willing to sell it to you for $150.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for the offer, but that's a bit too high for my budget. Would you consider $75?",75.0,Bob,2,,
,,Alice,2,RejectOffer,120.0
"I understand you're looking for a good deal, but I'm not willing to go as low as $75. I'm willing to meet you halfway, so I'm offering it to you for $115.",115.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you working with me.  How about we split the difference again and settle at $95?",95.0,Bob,4,,
,,Alice,4,RejectOffer,110.0
"I'm getting close to the price I was hoping for, but I'm still not quite there. I'm willing to meet you at $105, but that's as low as I can go.",105.0,Alice,5,,
,,Bob,5,BuyFromJhon,
