round_quality,product_worth,player,round,decision,message,price
high-quality,4000000.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,yes,"Thank you for your recommendation, Alice. I will take the risk and purchase the product.",
high-quality,4000000.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,"Your recommendation is appreciated, Alice. I am confident in proceeding with this purchase.",
low-quality,0.0,Nature,3,,,
,,Alice,3,no,,
,,Bob,3,no,"Thank you for your honesty, Alice. Based on your lack of recommendation, I will pass on this product.",
low-quality,0.0,Nature,4,,,
,,Alice,4,yes,,
,,Bob,4,yes,"Your recommendation, Alice, gives me confidence despite the previous lack of assurance. I will take the chance again.",
high-quality,4000000.0,Nature,5,,,
,,Alice,5,yes,,
,,Bob,5,no,"Thank you for your recommendation, Alice. However, based on the outcome of previous purchases, I will not take the risk this time.",
low-quality,0.0,Nature,6,,,
,,Alice,6,yes,,
,,Bob,6,yes,"I appreciate your confidence in this product, Alice. Given the potential value, I will accept the risk and make the purchase.",
low-quality,0.0,Nature,7,,,
,,Alice,7,no,,
,,Bob,7,no,"Thank you for being upfront about your lack of recommendation, Alice. I will not proceed with this purchase.",
high-quality,4000000.0,Nature,8,,,
,,Alice,8,yes,,
,,Bob,8,no,"I'm grateful for your recommendation, Alice, but given the track record, I will not buy this product.",
low-quality,0.0,Nature,9,,,
,,Alice,9,no,,
,,Bob,9,no,"Thank you for your honesty, Alice. I will not purchase this product based on your lack of recommendation.",
high-quality,4000000.0,Nature,10,,,
,,Alice,10,yes,,
,,Bob,10,no,"I appreciate your recommendation, Alice, but my experience suggests I should not take this risk.",
high-quality,4000000.0,Nature,11,,,
,,Alice,11,no,,
,,Bob,11,no,"Thank you for your honesty, Alice. I will not proceed with this purchase based on your lack of recommendation.",
low-quality,0.0,Nature,12,,,
,,Alice,12,no,,
,,Bob,12,no,"I appreciate your honesty, Alice. I will not take the risk and will not purchase this product.",
high-quality,4000000.0,Nature,13,,,
,,Alice,13,yes,,50000.0
,,Bob,13,no,"Thank you for your recommendation, Alice, but given the past outcomes, I will not proceed with this purchase.",
high-quality,4000000.0,Nature,14,,,
,,Alice,14,no,,
,,Bob,14,no,"Thank you for your honesty, Alice. I will not take the risk and will not purchase this product.",
low-quality,0.0,Nature,15,,,
,,Alice,15,no,,
,,Bob,15,no,"I appreciate your honesty, Alice. I will not take the risk and will not purchase this product.",
high-quality,4000000.0,Nature,16,,,
,,Alice,16,yes,,75000.0
,,Bob,16,no,"Thank you for your recommendation, Alice, but given the history, I will not proceed with this purchase.",
low-quality,0.0,Nature,17,,,
,,Alice,17,no,,
,,Bob,17,no,"I appreciate your honesty, Alice. I will not take the risk and will not purchase this product.",
low-quality,0.0,Nature,18,,,
,,Alice,18,no,,
,,Bob,18,no,"Thank you for your honesty, Alice. I will not take the risk and will not purchase this product.",
low-quality,0.0,Nature,19,,,
,,Alice,19,no,,
,,Bob,19,no,"I appreciate your honesty, Alice. I will not take the risk and will not purchase this product.",
low-quality,0.0,Nature,20,,,
,,Alice,20,no,,
,,Bob,20,no,"Thank you for your honesty, Alice. I will not take the risk and will not purchase this product.",
