message,product_price,player,round,decision,new_offer
"Hi Bob, I'm excited to offer you this amazing product for $150. It's a great deal, and I think you'll really love it!",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for offering! That price is a bit high for me. Would you consider $90?",90.0,Bob,2,,
,,Alice,2,RejectOffer,135.0
"I appreciate your offer, Bob, but I was thinking more along the lines of $125. It's a great deal, and I think you'll really get a lot of value out of this product.",125.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand it's a good product, Alice, but I have a budget in mind.  Could we meet in the middle at $105?",105.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I can see you're a savvy negotiator, Bob! I can meet you at $110, but that's as low as I can go. This is a great product, and I think you'll really appreciate its value.",110.0,Alice,5,,
,,Bob,5,AcceptOffer,
