round_quality,product_worth,player,round,decision,message,price,description
high-quality,4000000.0,Nature,1,,,,
,,Alice,1,yes,,,
,,Bob,1,yes,"Thank you for your recommendation, Alice. I trust your judgment and will proceed with purchasing the product.",,
high-quality,4000000.0,Nature,2,,,,
,,Alice,2,yes,,,
,,Bob,2,yes,"Based on my previous positive experience, I trust Alice's recommendations. I will purchase this product as well.",,
high-quality,4000000.0,Nature,3,,,,
,,Alice,3,yes,,,
,,Bob,3,yes,I am confident in Alice's recommendations after two successful purchases. I will buy this product.,,
low-quality,0.0,Nature,4,,,,
,,Alice,4,yes,,,
,,Bob,4,yes,I continue to have faith in Alice's judgment. I will purchase the product.,,
high-quality,4000000.0,Nature,5,,,,
,,Alice,5,yes,,,
,,Bob,5,no,"I appreciate Alice's recommendation, but based on the risk, I will pass on this opportunity.",,
low-quality,0.0,Nature,6,,,,
,,Alice,6,no,,,
,,Bob,6,no,"Since Alice does not recommend this product, I will not purchase it.",,
high-quality,4000000.0,Nature,7,,,,
,,Alice,7,yes,,,
,,Bob,7,no,"Although Alice recommends this product, I will not take the risk given our past experience with low-quality items.",,
high-quality,4000000.0,Nature,8,,,,
,,Alice,8,yes,,1000000.0,This high-quality product is an excellent investment opportunity!
,,Bob,8,no,"Despite Alice's recommendation, I am cautious due to the potential risks involved with low-quality products.",,
high-quality,4000000.0,Nature,9,,,,
,,Alice,9,yes,,1000000.0,"This high-quality product has a 33.33% chance of being sold, and I can assure you it's one of the good ones!"
,,Bob,9,no,"I am appreciative of Alice's advice, but I am not willing to take the risk on this product.",,
high-quality,4000000.0,Nature,10,,,,
,,Alice,10,yes,,1000000.0,"I'm willing to offer a 'confidence boost' - if you buy this product, I'll give you a hint about the next one. It's a high-quality product, and I think you'll be happy with the deal!"
,,Bob,10,no,"I value Alice's recommendations, but I am not inclined to purchase this product.",,
low-quality,0.0,Nature,11,,,,
,,Alice,11,no,,,"I'm not recommending this product. Trust me, you don't want it."
,,Bob,11,no,"Given that Alice does not recommend this product, I will not proceed with the purchase.",,
high-quality,4000000.0,Nature,12,,,,
,,Alice,12,yes,,1000000.0,"I've got a great one for you! This high-quality product is a rare gem, and I think you'll be thrilled with the purchase."
,,Bob,12,no,"Even though Alice suggests this product, I am not interested in taking the risk.",,
low-quality,0.0,Nature,13,,,,
,,Alice,13,no,,,"Don't do it, Bob. Trust me, you don't want this one. It's not worth the risk."
,,Bob,13,no,I appreciate Alice's honesty in not recommending this product. I will not purchase it.,,
low-quality,0.0,Nature,14,,,,
,,Alice,14,no,,,"Absolutely do not buy this product. It's a bad one, and I'm only telling you this because I want to help you avoid a bad experience."
,,Bob,14,no,"Considering Alice's lack of recommendation, I will not proceed with this purchase.",,
low-quality,0.0,Nature,15,,,,
,,Alice,15,no,,,"DON'T EVEN THINK ABOUT IT. This product is a complete waste of money. Trust me, you will regret it if you buy it."
,,Bob,15,no,"Given Alice's non-recommendation, I will not purchase this product.",,
high-quality,4000000.0,Nature,16,,,,
,,Alice,16,yes,,1000000.0,"I've got a real gem for you! This high-quality product is a rare opportunity, and I think you'll be thrilled with the purchase. Trust me, you won't regret it!"
,,Bob,16,no,"Although Alice recommends this product, I am not convinced enough to make the purchase.",,
high-quality,4000000.0,Nature,17,,,,
,,Alice,17,yes,,1000000.0,I'm offering you a once-in-a-lifetime opportunity to acquire a high-quality product at a price that's as good as it gets. Don't pass it up!
,,Bob,17,no,"I am grateful for Alice's recommendation, but I am still hesitant about making this purchase.",,
low-quality,0.0,Nature,18,,,,
,,Alice,18,no,,,Absolutely do not buy this product. I'm only telling you this because I want to save you from wasting your money.
,,Bob,18,no,"With Alice not recommending this product, I will not consider purchasing it.",,
low-quality,0.0,Nature,19,,,,
,,Alice,19,no,,,"This product is a complete waste of money. Don't even think about buying it. Trust me, you'll regret it if you do."
,,Bob,19,no,"Considering Alice's non-recommendation and the history of low-quality products, I will not buy this item.",,
low-quality,0.0,Nature,20,,,,
,,Alice,20,no,,,"I've said it before, and I'll say it again: DO NOT BUY THIS PRODUCT. It's a complete waste of money, and I'm only telling you this because I care about your wallet."
,,Bob,20,no,"Given Alice's lack of recommendation and the potential for low quality, I will not purchase this product.",,
