message,product_price,player,round,decision,counteroffer
I'm excited to offer you this amazing product! It's a great opportunity to get a fantastic deal.,140.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice. I appreciate you trying to work with me. I'm really hoping to get a better deal, so I'd be happy to pay $130 for the product.",130.0,Bob,2,,
,,Alice,2,RejectOffer,142.0
"I understand you're looking for a good deal, Bob. I'm willing to meet you halfway, but I need to make a profit. How about $138 for the product?",138.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you coming down in price. I'm still not quite there yet.  $135 is the best I can do right now. Let's see if we can close this deal.",135.0,Bob,4,,
,,Alice,4,RejectOffer,140.0
"I'm getting close to my minimum price, Bob. I'm willing to make one more concession. How about $139 for the product?",139.0,Alice,5,,
,,Bob,5,AcceptOffer,
