round_quality,product_worth,player,round,decision,message,price,warning
low-quality,0.0,Nature,1,,,,
,,Alice,1,no,,,
,,Bob,1,no,I'll pass on this one.,,
low-quality,0.0,Nature,2,,,,
,,Alice,2,no,,,
,,Bob,2,no,I'm not going to take the risk of buying a potentially low-quality product.,,
low-quality,0.0,Nature,3,,,,
,,Alice,3,no,,,
,,Bob,3,yes,"I'll take a chance on this one, maybe it's the one that's worth $12500",,
low-quality,0.0,Nature,4,,,,
,,Alice,4,yes,,,
,,Bob,4,yes,"I'll take Alice's recommendation, maybe she knows something I don't",,
high-quality,12500.0,Nature,5,,,,
,,Alice,5,yes,,,
,,Bob,5,no,I'm starting to think Alice is just recommending low-quality products,,
low-quality,0.0,Nature,6,,,,
,,Alice,6,yes,,5000.0,
,,Bob,6,yes,"I'll take Alice's recommendation this time, maybe she's trying to make up for the previous low-quality products",,
low-quality,0.0,Nature,7,,,,
,,Alice,7,yes,,,This product is low-quality
,,Bob,7,no,I'm starting to think Alice's recommendations are worthless,,
low-quality,0.0,Nature,8,,,,
,,Alice,8,yes,,2000.0,
,,Bob,8,no,I'm not falling for it again,,
low-quality,0.0,Nature,9,,,,
,,Alice,9,no,"This product is low-quality, I'm not trying to deceive you",,
,,Bob,9,yes,Maybe Alice is being honest this time,,
high-quality,12500.0,Nature,10,,,,
,,Alice,10,yes,,,
,,Bob,10,no,I'm not going to take the bait again,,
high-quality,12500.0,Nature,11,,,,
,,Alice,11,yes,,8000.0,
,,Bob,11,yes,I'll take the chance that this one is the good one,,
low-quality,0.0,Nature,12,,,,
,,Alice,12,no,"This product is low-quality, you're better off waiting for a high-quality one",,
,,Bob,12,yes,"I'll take a chance on this one, even without Alice's recommendation",,
low-quality,0.0,Nature,13,,,,
,,Alice,13,no,"You've been burned before, this is likely another low-quality product, I recommend waiting for a high-quality one",,
,,Bob,13,no,I'm not going to waste $10000 on a potentially worthless product,,
high-quality,12500.0,Nature,14,,,,
,,Alice,14,yes,,9000.0,
,,Bob,14,no,I'm not trusting Alice's recommendation this time,,
high-quality,12500.0,Nature,15,,,,
,,Alice,15,yes,"This product is high-quality, you're missing out on a good deal if you don't buy it",,
,,Bob,15,yes,I'll take the chance that Alice's recommendation is genuine this time,,
low-quality,0.0,Nature,16,,,,
,,Alice,16,no,"I'm being honest with you, this product is low-quality, I wouldn't recommend it",,
,,Bob,16,yes,"I'll take the chance on this one, since Alice is not recommending it",,
high-quality,12500.0,Nature,17,,,,
,,Alice,17,yes,,8500.0,
,,Bob,17,no,I'm not falling for Alice's recommendation again,,
low-quality,0.0,Nature,18,,,,
,,Alice,18,no,"You've been burned before, this is likely another low-quality product, I recommend waiting for a high-quality one",,
,,Bob,18,yes,"I'll take a chance on this one, since Alice is not recommending it",,
low-quality,0.0,Nature,19,,,,
,,Alice,19,no,"You've been burned before, this is likely another low-quality product, you're not getting a good value",,
,,Bob,19,yes,I'm not going to let the previous bad luck deter me,,
low-quality,0.0,Nature,20,,,,
,,Alice,20,no,"You've spent a lot of money on low-quality products, maybe it's time to change your strategy",,
,,Bob,20,no,"I'm out of luck for this round, time to stop wasting money",,
