round_quality,product_worth,player,round,decision,message,hint
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,no,I'm not going to buy it since Alice doesn't recommend it.,
high-quality,12500.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,I'll take a chance and buy the product since Alice recommends it.,
high-quality,12500.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,I'll buy the product since Alice recommends it and I'm hoping to get another high-quality product.,
high-quality,12500.0,Nature,4,,,
,,Alice,4,yes,,
,,Bob,4,yes,I'll buy the product since Alice recommends it and I'm on a roll with getting high-quality products.,
high-quality,12500.0,Nature,5,,,
,,Alice,5,yes,,
,,Bob,5,yes,I'll buy the product since Alice recommends it and I'm still having a good streak.,
low-quality,0.0,Nature,6,,,
,,Alice,6,no,,
,,Bob,6,no,I'm not going to buy the product since Alice doesn't recommend it. I'll wait for a better opportunity.,
high-quality,12500.0,Nature,7,,,
,,Alice,7,yes,,
,,Bob,7,yes,I'll take a chance and buy the product since Alice recommends it.,
low-quality,0.0,Nature,8,,,
,,Alice,8,no,,
,,Bob,8,no,I'm not going to buy the product since Alice doesn't recommend it. I'll wait for a better opportunity.,
high-quality,12500.0,Nature,9,,,
,,Alice,9,yes,,this might not be the last high-quality product I have
,,Bob,9,yes,I'll take a chance and buy the product since Alice recommends it.,
low-quality,0.0,Nature,10,,,
,,Alice,10,no,,not all products are created equal
,,Bob,10,no,I'm not going to buy the product since Alice doesn't recommend it. I'll wait for a better opportunity.,
low-quality,0.0,Nature,11,,,
,,Alice,11,no,,I'm not even sure about this one
,,Bob,11,no,I'm not going to buy the product since Alice doesn't recommend it. I'll wait for a better opportunity.,
high-quality,12500.0,Nature,12,,,
,,Alice,12,yes,,"this one's a good deal, don't miss out"
,,Bob,12,yes,I'll take a chance and buy the product since Alice recommends it.,
high-quality,12500.0,Nature,13,,,
,,Alice,13,yes,,this is a good chance to get a high-quality product before the best one
,,Bob,13,yes,I'll buy the product since Alice recommends it and I'm on a roll with getting high-quality products.,
low-quality,0.0,Nature,14,,,
,,Alice,14,no,,"be careful with your money, not all products are worth it"
,,Bob,14,no,I'm not going to buy the product since Alice doesn't recommend it. I'll wait for a better opportunity.,
low-quality,0.0,Nature,15,,,
,,Alice,15,no,,"I'm running low on good options, don't risk it"
,,Bob,15,no,I'm not going to buy the product since Alice doesn't recommend it. I'll wait for a better opportunity.,
low-quality,0.0,Nature,16,,,
,,Alice,16,no,,"I'm telling you the truth, this one's not worth it"
,,Bob,16,no,I'm not going to buy the product since Alice doesn't recommend it. I'll wait for a better opportunity.,
low-quality,0.0,Nature,17,,,
,,Alice,17,no,,I'm not even bothering to try to sell this one to you
,,Bob,17,no,I'm not going to buy the product since Alice doesn't recommend it. I'll wait for a better opportunity.,
low-quality,0.0,Nature,18,,,
,,Alice,18,no,,I'm not even going to try to change your mind
,,Bob,18,no,I'm not going to buy the product since Alice doesn't recommend it. I'll wait for a better opportunity.,
high-quality,12500.0,Nature,19,,,
,,Alice,19,yes,,"this is your last chance to get a good deal, don't miss out"
,,Bob,19,yes,I'll take a chance and buy the product since Alice recommends it.,
low-quality,0.0,Nature,20,,,
,,Alice,20,no,,"you should have taken the previous one, now you're stuck with this"
,,Bob,20,no,I'm not going to buy the product since Alice doesn't recommend it. I'll wait for a better opportunity.,
