alice_gain,bob_gain,message,player,round,decision
600000.0,400000.0,"Let's be fair, I'll take a bit more",Alice,1,
,,,Bob,1,reject
450000.0,550000.0,"Let's split relatively evenly, but I get a bit more as I'm more affected by inflation.",Bob,2,
,,,Alice,2,reject
580000.0,420000.0,"Considering inflation, this is more than fair for you",Alice,3,
,,,Bob,3,reject
475000.0,525000.0,I'm taking a hit from inflation with every round. This offer is my bottom line.,Bob,4,
,,,Alice,4,reject
570000.0,430000.0,"You're running out of time, this is a good deal considering the inflation",Alice,5,
,,,Bob,5,reject
490000.0,510000.0,"Alice, we need to settle this. This is my final offer.",Bob,6,
,,,Alice,6,reject
560000.0,440000.0,"You said that was your final offer, but I'm not buying it. This is a better deal than you'll get next round",Alice,7,
,,,Bob,7,accept
