alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,"Let's be fair, I'll take a bit more",Alice,1,
,,,Bob,1,reject
5000.0,5000.0,I think an even split is the fairest way to go.,Bob,2,
,,,Alice,2,reject
5800.0,4200.0,"I'll compromise, a bit closer to even",Alice,3,
,,,Bob,3,reject
4500.0,5500.0,Let's meet in the middle. This offer is closer to even.,Bob,4,
,,,Alice,4,reject
5700.0,4300.0,"Still willing to compromise, but I won't go below this",Alice,5,
,,,Bob,5,reject
4800.0,5200.0,This is a reasonable offer and gives us both a good share.  Time is running out.,Bob,6,
,,,Alice,6,accept
