message,product_price,player,round,decision,new_offer
"Hello Bob, I'm excited to offer you this great product! I think you'll really love it. I'm willing to sell it to you for $150.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer Alice, but that price is a bit too high for me.  Would you be willing to come down to $80?",80.0,Bob,2,,
,,Alice,2,RejectOffer,90.0
"I understand you're looking for a better deal, Bob. I'm willing to meet you halfway, but I need to make a profit. I can do $105.",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down a bit, Alice.  How about we settle at $90?",90.0,Bob,4,,
,,Alice,4,RejectOffer,110.0
"I'm not quite ready to settle at $90, Bob. I think the product is worth more than that. I can do $110, but that's as low as I'm willing to go.",110.0,Alice,5,,
,,Bob,5,BuyFromJhon,
