product_price,player,round,decision
75.0,Alice,1,
,Bob,1,RejectOffer
60.0,Bob,2,
,Alice,2,RejectOffer
65.0,Alice,3,
,Bob,3,RejectOffer
55.0,Bob,4,
,Alice,4,RejectOffer
60.0,Alice,5,
,Bob,5,RejectOffer
52.0,Bob,6,
,Alice,6,RejectOffer
55.0,Alice,7,
,Bob,7,RejectOffer
50.0,Bob,8,
,Alice,8,RejectOffer
52.0,Alice,9,
,Bob,9,RejectOffer
48.0,Bob,10,
,Alice,10,RejectOffer
50.0,Alice,11,
,Bob,11,RejectOffer
45.0,Bob,12,
,Alice,12,RejectOffer
48.0,Alice,13,
,Bob,13,RejectOffer
42.0,Bob,14,
,Alice,14,RejectOffer
45.0,Alice,15,
,Bob,15,RejectOffer
40.0,Bob,16,
,Alice,16,RejectOffer
42.0,Alice,17,
,Bob,17,AcceptOffer
