message,product_price,player,round,decision,counteroffer
I'm excited to offer you this great product! I'm thinking of selling it to you for $150. What do you think?,150.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $100. Would you be willing to meet me in the middle?",100.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"I appreciate your interest in the product, Bob! I can see you're a serious buyer. I'm willing to meet you halfway, but I need to make a profit. I can offer it to you for $130. What do you think?",130.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet me halfway, but I'm still a bit above my budget. I'm thinking of $110. Would you be willing to meet me there?",110.0,Bob,4,,
,,Alice,4,RejectOffer,125.0
"I understand you're trying to stay within your budget, Bob. I'm willing to make one more concession, but I need to make sure I'm not losing too much. I can offer it to you for $125. This is my final compromise.",125.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to make one more concession, but $125 is still a bit too high for me. I'm thinking of $115. This is my final offer, I'm not willing to go any lower.",115.0,Bob,6,,
,,Alice,6,SellToJhon,
