message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to offer you this great product. I think you'll really love it!",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for offering this product. However, $150 is a bit too high for my budget. Would you consider a lower price?",80.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"I understand you're looking for a better price, Bob. I'm willing to meet you halfway, but I still need to make a profit. How about $110?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down on the price, Alice.  How about we settle at $95? That's a fair deal for both of us.",95.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I'm glad we're close, Bob. I can do $105, but that's as low as I can go. It's a great deal for you, and I think you'll love the product.",105.0,Alice,5,,
,,Bob,5,BuyFromJhon,
