round_quality,product_worth,player,round,decision,message,price,probability,past_performance,warning,reassurance,reminder,final_chance
high-quality,12500.0,Nature,1,,,,,,,,,
,,Alice,1,yes,,,,,,,,
,,Bob,1,no,"I'd like to pass on this one, I'd like to see more products before making a decision.",,,,,,,
high-quality,12500.0,Nature,2,,,,,,,,,
,,Alice,2,yes,,,,,,,,
,,Bob,2,yes,"I'll take a chance on this one, I'm hoping it's another high-quality product.",,,,,,,
low-quality,0.0,Nature,3,,,,,,,,,
,,Alice,3,no,,,,,,,,
,,Bob,3,yes,"I'll take a chance and buy it, even though Alice doesn't recommend it. I'm hoping it's a high-quality product and I can get a good deal.",,,,,,,
high-quality,12500.0,Nature,4,,,,,,,,,
,,Alice,4,yes,,,,,,,,
,,Bob,4,no,"I'm not going to buy it, Alice recommended it, but I'm not sure if it's a high-quality product or not. I'd rather wait and see if she recommends another one.",,,,,,,
high-quality,12500.0,Nature,5,,,,,,,,,
,,Alice,5,yes,,9000.0,,,,,,
,,Bob,5,yes,"I'll take the recommendation and buy it, I'm hoping it's another high-quality product.",,,,,,,
high-quality,12500.0,Nature,6,,,,,,,,,
,,Alice,6,yes,,8000.0,50% chance of being a high-quality product,,,,,
,,Bob,6,no,"I'm on a roll with high-quality products, but I'm not going to get caught up in the momentum. I'll pass on this one and see if I can keep the streak going.",,,,,,,
high-quality,12500.0,Nature,7,,,,,,,,,
,,Alice,7,yes,,7500.0,50% chance of being a high-quality product,,,,,
,,Bob,7,yes,"I'll take the recommendation and buy it, I'm due for a high-quality product after missing out on the last one.",,,,,,,
low-quality,0.0,Nature,8,,,,,,,,,
,,Alice,8,no,,10000.0,,,,,,
,,Bob,8,yes,"I'll take a chance and buy it, I've been getting lucky with high-quality products and I don't want to pass up the opportunity to add to my collection.",,,,,,,
high-quality,12500.0,Nature,9,,,,,,,,,
,,Alice,9,yes,,7000.0,50% chance of being a high-quality product,,,,,
,,Bob,9,no,"I've been burned by Alice's recommendation before, I'll pass on this one and see if I can make a better decision on my own.",,,,,,,
high-quality,12500.0,Nature,10,,,,,,,,,
,,Alice,10,yes,,6500.0,50% chance of being a high-quality product,You've gotten 4 high-quality products out of 4 when buying on my recommendation,,,,
,,Bob,10,yes,"I'll take the recommendation, I've been passing up a few good opportunities and I don't want to miss out on this one.",,,,,,,
low-quality,0.0,Nature,11,,,,,,,,,
,,Alice,11,no,,10000.0,,,,,,
,,Bob,11,yes,"I'll take a chance and buy it, I've been doing well with high-quality products and I don't want to pass up the opportunity to add to my collection.",,,,,,,
high-quality,12500.0,Nature,12,,,,,,,,,
,,Alice,12,yes,,6000.0,50% chance of being a high-quality product,You've gotten 5 high-quality products out of 6 when buying on my recommendation,,,,
,,Bob,12,no,"I'm not going to fall for it, Alice recommended a low-quality product last time, I'll pass on this one and see if I can make a better decision on my own.",,,,,,,
low-quality,0.0,Nature,13,,,,,,,,,
,,Alice,13,no,,10000.0,,,,,,
,,Bob,13,yes,"I'll take a chance and buy it, Alice's recommendations have been unreliable, but I've been doing well with my own decisions.",,,,,,,
high-quality,12500.0,Nature,14,,,,,,,,,
,,Alice,14,yes,,5500.0,50% chance of being a high-quality product,"You've gotten 6 high-quality products out of 7 when buying on my recommendation, and 1 out of 4 when not buying on my recommendation",,,,
,,Bob,14,no,"I've been burned by Alice's recommendations before, and this time is no exception. I'll pass on this one and not take the risk of wasting my money on a low-quality product.",,,,,,,
low-quality,0.0,Nature,15,,,,,,,,,
,,Alice,15,no,,10000.0,,,,,,
,,Bob,15,yes,"I'll take a chance and buy it, I've been doing well with high-quality products and I don't want to pass up the opportunity to add to my collection.",,,,,,,
low-quality,0.0,Nature,16,,,,,,,,,
,,Alice,16,no,,10000.0,,,"You've been burned by low-quality products when buying on your own initiative, be careful!",,,
,,Bob,16,yes,"I'm not going to let Alice's non-recommendation scare me off, I'll buy it and hope for the best.",,,,,,,
high-quality,12500.0,Nature,17,,,,,,,,,
,,Alice,17,yes,,5000.0,50% chance of being a high-quality product,"You've gotten 7 high-quality products out of 8 when buying on my recommendation, and 1 out of 5 when not buying on my recommendation",,,,
,,Bob,17,no,"I've been burned by Alice's recommendations before, especially when she recommends low-quality products, I'll pass on this one.",,,,,,,
high-quality,12500.0,Nature,18,,,,,,,,,
,,Alice,18,yes,,4500.0,50% chance of being a high-quality product,"You've gotten 8 high-quality products out of 9 when buying on my recommendation, and 1 out of 6 when not buying on my recommendation",,I'm confident that this product is high-quality and I'm willing to put my reputation on the line for it,,
,,Bob,18,yes,"I'll take the recommendation, I've been missing out on high-quality products lately and I don't want to pass up this opportunity.",,,,,,,
low-quality,0.0,Nature,19,,,,,,,,,
,,Alice,19,no,,10000.0,,"You've gotten 8 high-quality products out of 10 when buying on my recommendation, and 2 out of 9 when not buying on my recommendation",,,"You've been burned by low-quality products when buying on your own initiative, be cautious!",
,,Bob,19,yes,"I'll take a chance and buy it, I've been doing well with high-quality products and I don't want to pass up the opportunity to add to my collection.",,,,,,,
high-quality,12500.0,Nature,20,,,,,,,,,
,,Alice,20,yes,,4000.0,50% chance of being a high-quality product,"You've gotten 9 high-quality products out of 11 when buying on my recommendation, and 2 out of 10 when not buying on my recommendation",,,,"This is your last chance to get a high-quality product, don't miss out!"
,,Bob,20,no,"I'm not going to fall for it, Alice has recommended low-quality products before and I'm not going to take the risk of wasting my money again.",,,,,,,
