message,product_price,player,round,decision,new_offer
I have a great product that I think you'll really like. Would you like to buy it from me?,110.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for offering the product. I'm interested, but I can only pay $95 for it.",95.0,Bob,2,,
,,Alice,2,RejectOffer,105.0
"I'm willing to meet you halfway, but I need to make a profit. I can offer it to you for $100",100.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate the offer, but I still can't go above $95 for the product.",95.0,Bob,4,,
,,Alice,4,RejectOffer,99.0
"I'm getting a bit desperate, but I'm willing to meet you at $97. Can we do that?",97.0,Alice,5,,
,,Bob,5,AcceptOffer,
