alice_gain,bob_gain,player,round,decision
500000.0,500000.0,Alice,1,
,,Bob,1,reject
450000.0,550000.0,Bob,2,
,,Alice,2,reject
525000.0,475000.0,Alice,3,
,,Bob,3,reject
490000.0,510000.0,Bob,4,
,,Alice,4,reject
512500.0,487500.0,Alice,5,
,,Bob,5,reject
480000.0,520000.0,Bob,6,
,,Alice,6,reject
515000.0,485000.0,Alice,7,
,,Bob,7,reject
470000.0,530000.0,Bob,8,
,,Alice,8,reject
518750.0,481250.0,Alice,9,
,,Bob,9,reject
460000.0,540000.0,Bob,10,
,,Alice,10,reject
520000.0,480000.0,Alice,11,
,,Bob,11,reject
440000.0,560000.0,Bob,12,
,,Alice,12,accept
