message,product_price,player,round,decision,newOffer
"I have a great deal for you, Bob! I'm willing to sell this amazing product to you for $100.",100.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice, but that's a bit steep for me.  Would you consider $60?",60.0,Bob,2,,
,,Alice,2,RejectOffer,90.0
"I appreciate your offer, Bob, but I think my product is worth more than that. I'm willing to meet you halfway, so I'm offering it to you for $85.",85.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand it's a good product, Alice, but I have a budget in mind. How about $70?",70.0,Bob,4,,
,,Alice,4,RejectOffer,82.5
"I'm getting close to my minimum price, Bob, but I still think my product is worth more than that. I'm willing to compromise, so I'll offer it to you for $82.50.",82.5,Alice,5,,
,,Bob,5,BuyFromJhon,
