message,product_price,player,round,decision,newOffer
"Hello Bob, I'm excited to offer you this amazing product! I think you'll really love it. I'm willing to let it go for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $100. Would you be willing to meet me in the middle?",100.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I appreciate your interest in the product, Bob! I can do $110, but I'm not sure I can go any lower than that. It's a great deal, if I do say so myself.",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to negotiate, Alice! However, I'm still a bit above my budget. Would you be willing to meet me at $105?",105.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I understand you're trying to stay within your budget, Bob. I can see if I can do a bit better. How about $115? It's the lowest I can go, but I think it's still a great deal for you.",115.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to compromise, Alice. However, I'm still a bit above my budget. Would you be willing to meet me at $110?",110.0,Bob,6,,
,,Alice,6,RejectOffer,112.5
"I'm getting close to my minimum price, Bob. I can see you're serious about the product. I can meet you halfway between $110 and $115, so how about $112.50? That's the best I can do.",112.5,Alice,7,,
,,Bob,7,RejectOffer,
"I appreciate your willingness to meet me halfway, Alice. However, I'm still a bit above my budget. Would you be willing to meet me at $110?",110.0,Bob,8,,
,,Alice,8,RejectOffer,112.0
"I'm not going to budge much further, Bob. I can do $112, but that's as low as I can go. It's still a great deal for you, and I think you'll really like the product.",112.0,Alice,9,,
,,Bob,9,BuyFromJhon,
