message,product_price,player,round,decision,newOffer
"Hello Bob, I have a great product that I think you'll really like. I'm willing to sell it to you for $110.",110.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice. I'm interested, but $110 is a bit steep for me. How about $105?",105.0,Bob,2,,
,,Alice,2,RejectOffer,115.0
"I understand you're looking for a good deal, Bob. I can do $108, but that's as low as I can go.",108.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to come down, but $108 is still a bit high for me.  Let's split the difference and go with $106.  What do you say?",106.0,Bob,4,,
,,Alice,4,RejectOffer,112.0
"I'm not willing to go as low as $106, Bob. I can do $112, but I'm starting to think you're not serious about buying the product.",112.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I understand you're feeling frustrated, but I'm still very interested in your product. $112 is still a little high for me. Let's meet in the middle at $109. It's a fair price for both of us, and I'm ready to make a deal.",109.0,Bob,6,,
,,Alice,6,RejectOffer,110.0
"I'm not willing to meet in the middle at $109, Bob. I think you're getting a good deal at $110. It's a fair price for the quality of the product.",110.0,Alice,7,,
,,Bob,7,AcceptOffer,
