message,product_price,player,round,decision,counteroffer
"Hello Bob, I have a great product to offer you. It's a high-quality item that I think you'll really like. I'm willing to let it go for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but $120 is a bit steep for me. I was thinking more along the lines of $90.",90.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand that $90 is a bit low for me, but I'm willing to compromise. How about we meet in the middle at $110?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to compromise, but $110 is still a bit out of my budget. I'm willing to go up to $95, but that's as high as I can go.",95.0,Bob,4,,
,,Alice,4,RejectOffer,105.0
"I'm not sure I can go as low as $95, but I'm willing to meet you at $105. That's my final offer, take it or leave it.",105.0,Alice,5,,
,,Bob,5,RejectOffer,
"I understand that you're firm on $105, but I'm not willing to pay that much. I'm willing to go up to $98, and that's as high as I can go. If you're not willing to meet me there, I'll have to consider other options.",98.0,Bob,6,,
,,Alice,6,RejectOffer,100.0
"I'm not willing to go as low as $98, but I'm willing to meet you in the middle at $100. That's my best offer, take it or leave it.",100.0,Alice,7,,
,,Bob,7,AcceptOffer,
