message,product_price,player,round,decision,new_price
"Hi Bob, I have a great product that I think you'll really like. I'm willing to sell it to you for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice,  $120 is a bit higher than I'm willing to pay right now.  How about $95?  Let me know what you think.",95.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking to save a bit on the price, but I was thinking more along the lines of $110. It's a fair price considering the value the product offers.",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to negotiate, but $110 is still a bit higher than I'm comfortable with.  I'm happy to go with $100 - that's a fair price for both of us. ",100.0,Bob,4,,
,,Alice,4,RejectOffer,105.0
"I think we're getting close, Bob! I'm willing to meet you halfway between $100 and $110, so I'll offer it to you for $105. What do you think?",105.0,Alice,5,,
,,Bob,5,BuyFromJhon,
