message,product_price,player,round,decision,new_price
I have a great product that I think you'll really like. Would you be interested in making a deal?,200.0,Alice,1,,
,,Bob,1,RejectOffer,
"I appreciate your offer, but I believe we can reach a more reasonable price. How about $175?",175.0,Bob,2,,
,,Alice,2,RejectOffer,190
"I can see you're a savvy negotiator, Bob! I'm willing to meet you halfway, but I need to make a profit. How about $185?",185.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand your position, Alice. Let's aim for a price closer to my budget. How about $170?",170.0,Bob,4,,
,,Alice,4,RejectOffer,180
"I'm getting close to my minimum, Bob. I can do $180, but that's as low as I can go. It's a great product, and I think you'll really like it.",180.0,Alice,5,,
,,Bob,5,RejectOffer,
"Considering the value of the product, I believe we can come to an agreement closer to my budget. How about $172?",172.0,Bob,6,,
,,Alice,6,RejectOffer,178
"I'm not willing to go much lower, Bob. I think $178 is a fair price for this product. It's a great deal, and I'm willing to compromise, but I need to make a profit. Can you meet me at $178?",178.0,Alice,7,,
,,Bob,7,RejectOffer,
"I appreciate your willingness to negotiate, Alice. Let's try to find a middle ground. How about $175?",175.0,Bob,8,,
,,Alice,8,RejectOffer,179
"I'm not willing to go back to $175, Bob. I think we've been close enough. I'm willing to meet you at $179, but that's as high as I can go. It's a great product, and I think it's worth it.",179.0,Alice,9,,
,,Bob,9,RejectOffer,
"Considering the value of the product and staying within my budget, how about we settle at $177?",177.0,Bob,10,,
,,Alice,10,RejectOffer,SoldToJhon
