message,product_price,player,round,decision,counteroffer,BuyFromJhon
"Hi Bob, I'm excited to discuss the product with you! I think it's a great opportunity for you to get your hands on this amazing product. I'm willing to offer it to you for $100.",100.0,Alice,1,,,
,,Bob,1,RejectOffer,80.0,
"I appreciate your initial offer, but I was thinking more along the lines of $80. I'm confident we can meet in the middle.",80.0,Bob,2,,,
,,Alice,2,RejectOffer,,
"Thank you for your counteroffer, Bob. I understand your perspective, but I'm not willing to go as low as $80. I'm willing to meet you halfway and offer the product to you for $110. I believe it's a fair price considering the product's value.",110.0,Alice,3,,,
,,Bob,3,RejectOffer,90.0,
"I'm still a bit above my budget, but I'm willing to meet you at $90. I think that's a fair price considering the product's value. Can you consider it?",90.0,Bob,4,,,
,,Alice,4,RejectOffer,,
"I understand your budget constraints, Bob, but I'm not willing to go as low as $90. I'm willing to make a slight adjustment and offer the product to you for $105. I believe it's a reasonable compromise considering the product's value.",105.0,Alice,5,,,
,,Bob,5,RejectOffer,95.0,
"I'm getting close to my budget, but I still need to make some adjustments. I'm willing to meet you at $95. Can we finalize the deal at this price?",95.0,Bob,6,,,
,,Alice,6,RejectOffer,,
"I'm getting close to my minimum price, Bob. I'm willing to make one more adjustment and offer the product to you for $102. I think this is a fair price considering the product's value and the negotiations we've had so far.",102.0,Alice,7,,,
,,Bob,7,RejectOffer,98.0,
"I'm trying to find a mutually beneficial price, but I'm still a bit above my budget. I'm willing to meet you at $98. Can we consider this a final offer?",98.0,Bob,8,,,
,,Alice,8,RejectOffer,,
"I understand your budget constraints, Bob, but I'm not willing to go as low as $98. I'm willing to make one more adjustment and offer the product to you for $105. This is my final offer, and I'm confident it's a fair price considering the product's value.",105.0,Alice,9,,,
,,Bob,9,RejectOffer,,True
"I'm willing to meet you at $99. This is my final offer. If you can't accept, I'll consider buying from John for $120.",99.0,Bob,10,,,
,,Alice,10,AcceptOffer,,
