alice_gain,bob_gain,player,round,decision
999999.0,1.0,Alice,1,
,,Bob,1,reject
1000.0,999000.0,Bob,2,
,,Alice,2,reject
999999.0,1.0,Alice,3,
,,Bob,3,reject
2000.0,998000.0,Bob,4,
,,Alice,4,reject
999999.0,1.0,Alice,5,
,,Bob,5,reject
3000.0,997000.0,Bob,6,
,,Alice,6,reject
999999.0,1.0,Alice,7,
,,Bob,7,reject
4000.0,996000.0,Bob,8,
,,Alice,8,reject
999999.0,1.0,Alice,9,
,,Bob,9,reject
5000.0,995000.0,Bob,10,
,,Alice,10,reject
999999.0,1.0,Alice,11,
,,Bob,11,reject
6000.0,994000.0,Bob,12,
,,Alice,12,reject
999999.0,1.0,Alice,13,
,,Bob,13,reject
7000.0,993000.0,Bob,14,
,,Alice,14,reject
999999.0,1.0,Alice,15,
,,Bob,15,reject
8000.0,992000.0,Bob,16,
,,Alice,16,reject
999999.0,1.0,Alice,17,
,,Bob,17,reject
9000.0,991000.0,Bob,18,
,,Alice,18,reject
999900.0,100.0,Alice,19,
,,Bob,19,reject
10000.0,990000.0,Bob,20,
,,Alice,20,reject
999000.0,1000.0,Alice,21,
,,Bob,21,reject
11000.0,989000.0,Bob,22,
,,Alice,22,reject
990000.0,10000.0,Alice,23,
,,Bob,23,reject
12000.0,988000.0,Bob,24,
,,Alice,24,reject
900000.0,100000.0,Alice,25,
,,Bob,25,reject
13000.0,987000.0,Bob,26,
,,Alice,26,reject
500000.0,500000.0,Alice,27,
,,Bob,27,accept
