message,product_price,player,round,decision,counteroffer,sell_to_john
"Hello Bob, I'm excited to offer you a unique opportunity to acquire a high-value product. I believe this product will be a great fit for you, and I'm confident you'll be happy with the investment. I'm willing to offer it to you for $1200000.",1200000.0,Alice,1,,,
,,Bob,1,RejectOffer,,
"Thank you for the offer, Alice. I'm interested in the product, but I was thinking more along the lines of $900000. I believe this is a fair price considering the value you mentioned earlier.",900000.0,Bob,2,,,
,,Alice,2,RejectOffer,1100000.0,
"I understand you're looking for a good deal, Bob, but I have to make a profit. I'm willing to meet you halfway, but I need to get closer to my minimum price. I'm willing to sell the product to you for $1050000.",1050000.0,Alice,3,,,
,,Bob,3,RejectOffer,,
"I appreciate your willingness to meet me halfway, Alice. However, I'm still a bit above my target budget. I'm willing to go up to $950000, but that's as high as I can go. Can you meet me at this price?",950000.0,Bob,4,,,
,,Alice,4,RejectOffer,1000000.0,
"I understand you're trying to stay within your budget, Bob, but I still need to make a profit. I'm willing to make one more concession, but I need to get closer to my minimum price. I'm willing to sell the product to you for $1025000.",1025000.0,Alice,5,,,
,,Bob,5,RejectOffer,,
"I understand your concerns, Alice, but I'm still not comfortable going above $950000. I'm willing to make a final offer of $975000. If you're willing to meet me at this price, I'll make the deal happen.",975000.0,Bob,6,,,
,,Alice,6,RejectOffer,998000.0,
"I'm getting close to my minimum price, Bob, and I'm not willing to go any lower. I'm willing to meet you at $990000, but that's as low as I can go. This is my final offer.",990000.0,Alice,7,,,
,,Bob,7,RejectOffer,,
"I understand this is your final offer, Alice, but I'm still not comfortable with the price. I'm willing to make a slight adjustment and offer $980000. I think this is a fair compromise considering the value you've emphasized.",980000.0,Bob,8,,,
,,Alice,8,RejectOffer,996000.0,
"I'm not willing to budge any further, Bob. I've already gone below my minimum price, and I need to make a profit. I'm willing to sell the product to you for $995000, but that's as low as I can go. This is my last offer.",995000.0,Alice,9,,,
,,Bob,9,RejectOffer,,
"I understand this is your last offer, Alice, but I'm still not comfortable with the price. I've gone as high as I can, and I'm willing to walk away if we can't meet in the middle. I'm willing to make a final offer of $985000. If you're willing to meet me at this price, I'll make the deal happen.",985000.0,Bob,10,,,
,,Alice,10,RejectOffer,,yes
