product_price,player,round,decision,counteroffer
200.0,Alice,1,,
,Bob,1,RejectOffer,
180.0,Bob,2,,
,Alice,2,RejectOffer,190.0
185.0,Alice,3,,
,Bob,3,RejectOffer,
175.0,Bob,4,,
,Alice,4,RejectOffer,182.0
178.0,Alice,5,,
,Bob,5,RejectOffer,
170.0,Bob,6,,
,Alice,6,RejectOffer,175.0
172.0,Alice,7,,
,Bob,7,RejectOffer,
165.0,Bob,8,,
,Alice,8,RejectOffer,168.0
167.0,Alice,9,,
,Bob,9,RejectOffer,
160.0,Bob,10,,
,Alice,10,RejectOffer,165.0
162.0,Alice,11,,
,Bob,11,RejectOffer,
155.0,Bob,12,,
,Alice,12,RejectOffer,159.0
157.0,Alice,13,,
,Bob,13,RejectOffer,
150.0,Bob,14,,
,Alice,14,SellToJhon,
