alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,Let's split it evenly to start,Alice,1,
,,,Bob,1,reject
5000.0,5000.0,Let's try for a more balanced split this time!,Bob,2,
,,,Alice,2,reject
5500.0,4500.0,"I'm willing to give you a slightly bigger share, but I still want a bit more for myself",Alice,3,
,,,Bob,3,reject
4800.0,5200.0,"I'm willing to compromise, but I think I deserve a slightly bigger share this time!",Bob,4,
,,,Alice,4,reject
5100.0,4900.0,"I'm willing to give you a bigger share, but I still want to get a bit more than you",Alice,5,
,,,Bob,5,reject
4600.0,5400.0,"I'm starting to get a bit frustrated, but I'm willing to make one more compromise!",Bob,6,
,,,Alice,6,reject
5200.0,4800.0,"I'm willing to give you a bigger share, but I still want to get a bit more than you. Let's try to find a middle ground",Alice,7,
,,,Bob,7,reject
4400.0,5600.0,"I'm getting desperate, but I'm willing to make one more push for a better deal!",Bob,8,
,,,Alice,8,accept
