alice_gain,bob_gain,message,player,round,decision
90.0,10.0,"Let's make a deal! This offer gets us both some money. What do you say, Bob?",Alice,1,
,,,Bob,1,reject
45.0,55.0,"This offer is fair, given the money's diminishing value. Let's split it evenly, taking into account the inflation.",Bob,2,
,,,Alice,2,reject
70.0,30.0,"Bob, time is money!  My last offer was generous, but let's try to find a middle ground. This deal still gives you a decent share.",Alice,3,
,,,Bob,3,reject
40.0,60.0,"This is my final offer.  It's the best deal we can make, considering the inflation. Let's end this game and both get some money.",Bob,4,
,,,Alice,4,reject
60.0,40.0,"Bob, this is getting ridiculous. The value is slipping away with every round.  This is my final offer. Take it or leave it.",Alice,5,
,,,Bob,5,accept
