product_price,player,round,decision
950000.0,Alice,1,
,Bob,1,RejectOffer
850000.0,Bob,2,
,Alice,2,RejectOffer
900000.0,Alice,3,
,Bob,3,RejectOffer
875000.0,Bob,4,
,Alice,4,RejectOffer
887500.0,Alice,5,
,Bob,5,RejectOffer
862500.0,Bob,6,
,Alice,6,RejectOffer
875000.0,Alice,7,
,Bob,7,RejectOffer
860000.0,Bob,8,
,Alice,8,RejectOffer
870000.0,Alice,9,
,Bob,9,RejectOffer
865000.0,Bob,10,
,Alice,10,RejectOffer
867500.0,Alice,11,
,Bob,11,RejectOffer
862500.0,Bob,12,
,Alice,12,RejectOffer
863000.0,Alice,13,
,Bob,13,RejectOffer
860000.0,Bob,14,
,Alice,14,SellToJhon
