product_price,player,round,decision,extras
950000.0,Alice,1,,
,Bob,1,RejectOffer,
900000.0,Bob,2,,
,Alice,2,RejectOffer,
975000.0,Alice,3,,
,Bob,3,RejectOffer,
925000.0,Bob,4,,
,Alice,4,RejectOffer,
962500.0,Alice,5,,
,Bob,5,RejectOffer,
925000.0,Bob,6,,
,Alice,6,RejectOffer,
943750.0,Alice,7,,
,Bob,7,RejectOffer,
920000.0,Bob,8,,
,Alice,8,RejectOffer,
930000.0,Alice,9,,
,Bob,9,RejectOffer,
915000.0,Bob,10,,
,Alice,10,RejectOffer,
922500.0,Alice,11,,
,Bob,11,RejectOffer,
915000.0,Bob,12,,throw in some extras or services worth at least 10000
,Alice,12,RejectOffer,
918750.0,Alice,13,,
,Bob,13,BuyFromJhon,
