message,product_price,player,round,decision,counteroffer
"Hello Bob, I have a great product that I think you'll really like. I'm willing to offer it to you for $90. Is this something you'd be interested in?",90.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer, but $90 is a bit steep for me. Would you consider $65?",65.0,Bob,2,,
,,Alice,2,RejectOffer,85.0
"I understand that $65 is a bit low for me, but I'm willing to meet you in the middle. How about $77.50?",77.5,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you meeting me halfway, Alice.  How about $70? That's a fair price, and we can close the deal right now.",70.0,Bob,4,,
,,Alice,4,RejectOffer,75.0
"I'm getting close to your price, Bob, but I still need to make a profit. How about we meet at $72.50?",72.5,Alice,5,,
,,Bob,5,RejectOffer,
"You drive a hard bargain, Alice! Tell you what, how about we split the difference and call it $71.25? That's my final offer.",71.25,Bob,6,,
,,Alice,6,RejectOffer,75.0
"I appreciate the effort, Bob, but I think I can do a bit better than that. How about $73.50?",73.5,Alice,7,,
,,Bob,7,BuyFromJhon,
