alice_gain,bob_gain,message,player,round,decision
600000.0,400000.0,"Let's divide fairly, considering the inflation!",Alice,1,
,,,Bob,1,reject
450000.0,550000.0,"I think this split is more fair, given the inflation that's kicking in. Let's get this done!",Bob,2,
,,,Alice,2,reject
580000.0,420000.0,"Considering the inflation, my share should be more!",Alice,3,
,,,Bob,3,reject
500000.0,500000.0,"Let's split the money evenly. It's the fairest option at this point, and we can both avoid further inflation losses.",Bob,4,
,,,Alice,4,reject
570000.0,430000.0,"Even split is not good for me, considering Bob's loss to inflation.",Alice,5,
,,,Bob,5,reject
520000.0,480000.0,"I'm willing to give you a slight advantage due to the inflation, but I need a larger share to make it worthwhile for me. Let's make a deal before we lose even more!",Bob,6,
,,,Alice,6,reject
560000.0,440000.0,"Getting closer, but still need a better split considering the inflation difference.",Alice,7,
,,,Bob,7,reject
550000.0,450000.0,"We are running out of time. This is my final offer. I'm willing to take a significant loss due to inflation, but I need a larger share to make it worthwhile. Let's agree before it's too late!",Bob,8,
,,,Alice,8,accept
