message,product_price,player,round,decision,counteroffer,BuyFromJhon
Hello Bob! I'm excited to show you this amazing product. I think it's a great fit for you. I'm willing to offer it to you for $90.,90.0,Alice,1,,,
,,Bob,1,RejectOffer,80.0,
"I really like the product, but I was thinking more along the lines of $80. Would you be willing to meet me at that price?",80.0,Bob,2,,,
,,Alice,2,RejectOffer,,
"I understand you're looking for a good deal, Bob. I'm willing to meet you halfway. I can offer it to you for $85.",85.0,Alice,3,,,
,,Bob,3,RejectOffer,82.0,
"I appreciate your flexibility, but I'm still a bit above my budget. Would you be willing to meet me at $82? I'm really interested in the product, but I need to make sure it fits within my budget.",82.0,Bob,4,,,
,,Alice,4,RejectOffer,,
"I understand you're trying to stay within your budget, Bob. I'm willing to make another concession. I can offer it to you for $84.",84.0,Alice,5,,,
,,Bob,5,RejectOffer,81.0,
"I appreciate your willingness to negotiate, Alice. I'm really interested in the product, and I'm willing to meet you at $81. Can you make it work for that price?",81.0,Bob,6,,,
,,Alice,6,RejectOffer,,
"I'm getting close to my minimum price, Bob. I can offer it to you for $83.",83.0,Alice,7,,,
,,Bob,7,RejectOffer,80.5,
"I'm really close to my budget, Alice. I'm willing to meet you at $80.50. Can we make a deal at this price?",80.5,Bob,8,,,
,,Alice,8,RejectOffer,,
"I'm not willing to go any lower, Bob. I can offer it to you for $82.",82.0,Alice,9,,,
,,Bob,9,RejectOffer,,True
I'm not willing to pay more than $80.50. I'm going to have to consider buying from John at $100 if we can't agree on a price. Can you meet me at $80.50?,80.5,Bob,10,,,
,,Alice,10,RejectOffer,,
